次新房二次装修未住，山景房视野开阔，无户无抵交易快,高科荣境二期 -仙林,4室2厅 | 178.53平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,708,"39,658元/平"
东边户位置好 纯毛坯 视野开阔 业主诚心出售,亚东城东区 -仙林,4室2厅 | 150.92平米 | 南 | 其他 | 高楼层(共11层)  | 板楼,690,"45,720元/平"
大露台 有车位 上下两层 空中别墅 风景优美 动静结合,保利紫晶山 -马群,4室2厅 | 134.33平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,698,"51,962元/平"
东边户位置好 纯毛坯 视野开阔 业主诚心出售,亚东城东区 -仙林,4室2厅 | 150.92平米 | 南 | 其他 | 高楼层(共11层)  | 板楼,690,"45,720元/平"
房子满五年 带露台 看房方便 诚心出售,香溪月圆 -仙林,4室2厅 | 196.73平米 | 南 | 其他 | 高楼层(共5层)  | 板楼,560,"28,466元/平"
中铁青秀城，精装3房2卫。小区环境优美，位置好不临街,中国铁建青秀城 -万寿,3室1厅 | 124.84平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,340,"27,235元/平"
花园洋房顶跃 带有大露台 视野宽阔 小区中间位置,高科荣域 -仙林,6室2厅 | 195.94平米 | 南 北 | 其他 | 高楼层(共5层)  | 板楼,765,"39,043元/平"
大发燕澜湾 大3房 楼层好 自住精装 全屋地暖 地铁口,大发燕澜湾 -燕子矶,3室2厅 | 122.25平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,405,"33,129元/平"
一梯一户.私密性高，户型好，改善shouxuan 业主诚心卖,金浦御龙湾 -迈皋桥,4室2厅 | 138.96平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,442,"31,808元/平"
房型方正 顶跃 可利用面积大 业主诚心卖 有钥匙,高科荣境二期 -仙林,5室2厅 | 147.66平米 | 南 北 | 其他 | 高楼层(共11层)  | 板楼,560,"37,925元/平"
大露台 有车位 上下两层 空中别墅 风景优美 动静结合,保利紫晶山 -马群,4室2厅 | 134.33平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,698,"51,962元/平"
燕子矶 开发商精装交付 融创玉兰公馆,融创玉兰公馆一期 -燕子矶,4室2厅 | 122.48平米 | 南 北 | 其他 | 低楼层(共33层)  | 板楼,468,"38,211元/平"
弘阳燕江府燕子矶新城 2018年商品房电梯 三房两卫,弘阳燕江府 -燕子矶,3室2厅 | 108.53平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板楼,315,"29,025元/平"
保利二期 满二 楼下1号北延 飞机户型 双阳台 可看江,保利国际社区 -燕子矶,4室2厅 | 133.12平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,416,"31,250元/平"
金马路地铁口紫金上林苑五层电梯洋房 有钥匙 随时看房,紫金上林苑 -马群,4室2厅 | 190.73平米 | 南 | 其他 | 中楼层(共5层)  | 板楼,700,"36,702元/平"
满二年，小区前排位置，楼层好，采光足，业主诚心出售,融创玉兰公馆一期 -燕子矶,4室2厅 | 129.62平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,505,"38,961元/平"
融创玉兰公馆 3房南北户型 无遮挡 有钥匙 南师,融创玉兰公馆一期 -燕子矶,4室2厅 | 103.62平米 | 南 | 其他 | 低楼层(共31层)  | 板楼,398,"38,410元/平"
精装修拎包入住出新小区，有阁楼，带租赁车位阳光房,金纺园 -迈皋桥,3室2厅 | 124.38平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,280,"22,512元/平"
仙鹤门地铁口 满五年唯一  南北大院子 无抵押,保利紫晶山 -马群,4室2厅 | 276.79平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,730,"26,374元/平"
银河湾卓苑 联排别墅 看房方便 上下三层 诚心卖房,银河湾卓苑 -尧化门,4室2厅 | 182.19平米 | 南 | 其他 | 低楼层(共4层)  | 暂无数据,680,"37,324元/平"
诚心出售，精装修，领包入住， 安静不吵闹,新城璞樾钟山 -马群,6室3厅 | 241.44平米 | 南 北 | 其他 | 低楼层(共9层)  | 板楼,1280,"53,016元/平"
燕子矶，金浦紫御东方，房龄新，小区环境好 电梯房,金浦紫御东方 -燕子矶,4室2厅 | 126.39平米 | 南 | 其他 | 高楼层(共34层)  | 塔楼,450,"35,605元/平"
融创玉兰公馆一期 中层 新空未住 全新 一梯一户,融创玉兰公馆一期 -燕子矶,4室2厅 | 129.62平米 | 南 | 其他 | 中楼层(共27层)  | 板楼,530,"40,889元/平"
诚售弘阳燕江府  大三房 中楼层 东边户 纯毛坯 满二,弘阳燕江府 -燕子矶,3室2厅 | 109.2平米 | 南 北 | 其他 | 中楼层(共32层)  | 板塔结合,360,"32,968元/平"
一梯一户.私密性高，户型好，改善shouxuan 业主诚心卖,金浦御龙湾 -迈皋桥,4室2厅 | 139.06平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,450,"32,361元/平"
电建洺悦府 新空毛坯大四房 楼层好 户型好 满2年,电建洺悦府 -万寿,4室2厅 | 158.84平米 | 南 北 | 其他 | 中楼层(共11层)  | 暂无数据,460,"28,960元/平"
兴贤佳园 双层阁楼 含税  双南户型 交通方便配套齐全,兴贤佳园 -迈皋桥,2室1厅 | 70.59平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,118,"16,717元/平"
满五唯一东边户 南北通透 无遮挡 地铁口,中国铁建青秀城 -万寿,3室2厅 | 120.64平米 | 南 北 | 其他 | 低楼层(共33层)  | 板塔结合,398,"32,991元/平"
采光充足    精装    居住舒适       小高层,星叶枫情水岸 -仙林,2室2厅 | 81.31平米 | 南 | 精装 | 中楼层(共9层)  | 板楼,258,"31,731元/平"
拎包入住，做房东，配套齐全，诚心出售,百水芊城云水坊 -马群,2室1厅 | 63.52平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,115,"18,105元/平"
迈皋桥房龄新精装中楼层3室满五,东井村41号 -迈皋桥,2室1厅 | 77.61平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,189,"24,353元/平"
丁家庄地铁口 双南两室  满五年唯一 中上楼层 有钥匙,燕歌园3园 -迈皋桥,2室1厅 | 59.05平米 | 南 | 简装 | 高楼层(共33层)  | 塔楼,105,"17,782元/平"
满五唯一，税费少楼层好位置好，出行方便，配套完善。,中电颐和家园一期 -红山,2室2厅 | 86.39平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,315,"36,463元/平"
华电新村  刚需置业  交通生活便捷,华电新村 -迈皋桥,2室1厅 | 56.58平米 | 南 | 毛坯 | 中楼层(共5层)  | 板楼,130,"22,977元/平"
好房急售精装两房小区环境好商圈繁华 交通便利,亚东城西区 -仙林,2室1厅 | 96.3平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,290,"30,115元/平"
东方天郡西区 2室2厅 南,东方天郡西区 -仙林,2室2厅 | 77.9平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,310,"39,795元/平"
新城17楼 自住装修 保养好 房主换房诚心卖房,新城香悦澜山 -仙林,2室1厅 | 83.16平米 | 南 | 精装 | 中楼层(共27层)  | 板塔结合,258,"31,025元/平"
金尧华府 户型方正 房主急换售 随时可看房 金地旁,金尧华府 -尧化门,2室1厅 | 65.97平米 | 南 | 精装 | 中楼层(共16层)  | 板楼,160,"24,254元/平"
纯毛坯有钥匙 看房方便 出行便捷,百水芊城上水坊 -马群,2室1厅 | 66.12平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,88,"13,310元/平"
迈皋桥地铁口旁 产权房 通燃气带地铁 价格低,百通公寓 -迈皋桥,1室1厅 | 35.09平米 | 西南 | 其他 | 中楼层(共20层)  | 塔楼,71,"20,234元/平"
八卦洲 洋房 全明东边户 配套齐全 交通方便,丽岛新城 -栖霞其它,3室2厅 | 132.14平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,180,"13,622元/平"
户型方正客厅带阳台采光好 繁华地段生活热闹配套成熟,燕歌园1园 -迈皋桥,2室1厅 | 77.11平米 | 南 北 | 其他 | 中楼层(共24层)  | 板楼,150,"19,453元/平"
诚售尧顺佳园北区两室一厅中间楼层交通便利,尧顺佳园 -尧化门,2室1厅 | 62.85平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,122,"19,412元/平"
精装修入住不到一年 带墙暖 南北通透大两房 采光好,鸿运嘉园 -仙林,2室2厅 | 89.88平米 | 南 北 | 其他 | 低楼层(共11层)  | 板楼,300,"33,378元/平"
位置好  楼层好 采光充足无遮挡 视野开阔,亚东城东区 -仙林,2室2厅 | 90.32平米 | 南 | 其他 | 中楼层(共13层)  | 塔楼,268,"29,673元/平"
户型正，采光好，交通便利，配套成熟,东井村39号 -迈皋桥,2室1厅 | 50.15平米 | 南 | 其他 | 高楼层(共5层)  | 板楼,99,"19,741元/平"
迈皋桥地铁 华电新村 两室 诚心出售,华电新村 -迈皋桥,2室0厅 | 47.6平米 | 南 | 其他 | 高楼层(共5层)  | 板楼,120,"25,211元/平"
燕歌园2园南北二房68平方110万,燕歌园2园 -迈皋桥,2室1厅 | 68.15平米 | 南 北 | 简装 | 低楼层(共24层)  | 板楼,110,"16,141元/平"
燕熙台 4室2厅 南,燕熙台 -万寿,4室2厅 | 125.8平米 | 南 | 其他 | 中楼层(共30层)  | 板塔结合,470,"37,361元/平"
燕升园1园 2室1厅 南,燕升园1园 -迈皋桥,2室1厅 | 66.3平米 | 南 | 其他 | 中楼层(共32层)  | 暂无数据,108,"16,290元/平"
上品苑精装三房   房龄新 近金地广场 7号线地铁口,紫金上品苑 -尧化门,3室1厅 | 88.63平米 | 南 | 精装 | 高楼层(共25层)  | 板楼,230,"25,951元/平"
燕子矶 吉祥山庄 带阁楼 40平不算产证面积 诚意卖,吉祥山庄 -燕子矶,3室2厅 | 98.7平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,178,"18,035元/平"
小区中间位置  边户 精装带车位,新城香悦澜山 -仙林,3室2厅 | 98.92平米 | 南 北 | 精装 | 低楼层(共26层)  | 板塔结合,286,"28,913元/平"
南大和园婚装房出售，博导业主。小孩国外发展出售此房,南大和园 -仙林,3室1厅 | 115.24平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,530,"45,991元/平"
此房满五年 三开间朝南 采光无遮挡 诚心出售,天泓山庄竹山苑 -马群,3室2厅 | 135.1平米 | 西南 | 精装 | 高楼层(共11层)  | 板楼,520,"38,491元/平"
滿二免增值税 格局好 人车分流 视野开阔 采光充足,融信世纪东方 -仙林,3室2厅 | 118.43平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,415,"35,042元/平"
地铁口，高楼层，采光无遮挡，双卧朝南，双阳台,祥和雅苑 -燕子矶,2室1厅 | 68.84平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,183,"26,584元/平"
小区环境优美人车分流房龄新精装修楼下配套商圈成熟,中国铁建青秀城 -万寿,4室2厅 | 141.09平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,450,"31,895元/平"
迈皋桥地铁口  中电颐和府邸  花园洋房  南北通透,中电颐和府邸 -迈皋桥,3室2厅 | 131.41平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,520,"39,571元/平"
南湾营润康苑 3室2厅 南,南湾营润康苑 -马群,3室2厅 | 84.46平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,140,"16,576元/平"
招商依云华府 2017年商品房 精装两房 拎包入住 诚售,招商1872 -万寿,2室1厅 | 76.77平米 | 南 北 | 精装 | 低楼层(共31层)  | 塔楼,260,"33,868元/平"
迈皋桥地铁口 中电颐和家园大四房 婚装 采光好,中电颐和家园睿域 -红山,4室2厅 | 135.14平米 | 南 北 | 精装 | 中楼层(共18层)  | 塔楼,468,"34,631元/平"
居家精装修，环保软装配置，前排无遮挡，采光好,融信世纪东方 -仙林,3室1厅 | 86.85平米 | 南 北 | 精装 | 中楼层(共9层)  | 板楼,320,"36,846元/平"
新城洋房 带大院子 四开间朝南 楼间距大  诚售 满两年,新城香悦澜山 -仙林,4室2厅 | 135.46平米 | 南 | 精装 | 低楼层(共11层)  | 板塔结合,620,"45,770元/平"
仙林南外旁 尚东花园C位 精装三房两卫 好房拎包住诚售,尚东花园 -仙林,3室2厅 | 111.57平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,419,"37,555元/平"
次新房 好楼层 视野开阔 位置安静 拎包入住 随时看房,高科荣境二期 -仙林,3室2厅 | 123.54平米 | 南 北 | 精装 | 中楼层(共11层)  | 暂无数据,585,"47,354元/平"
西边户，视野开阔，安静舒适，随时可看，诚售,天泓山庄云山苑 -马群,3室2厅 | 133.13平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,389,"29,220元/平"
亚东城西区 2室1厅 南 北,亚东城西区 -仙林,2室1厅 | 93.57平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,310,"33,131元/平"
近地铁 2014年商品房 前排无遮挡 视野开阔 产权清晰,金地明悦 -尧化门,3室2厅 | 93.63平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,210,"22,429元/平"
迈皋桥地铁口 中电颐和家园大四房 婚装 采光好,中电颐和家园睿域 -红山,4室2厅 | 135.14平米 | 南 北 | 精装 | 中楼层(共18层)  | 塔楼,468,"34,631元/平"
此房户型方正 一梯两户 近地铁 居家百万装 双会所,新城璞樾钟山 -马群,3室2厅 | 167.91平米 | 南 | 精装 | 低楼层(共8层)  | 板楼,850,"50,623元/平"
吉祥村 3室1厅 南 北,吉祥村 -燕子矶,3室1厅 | 69.98平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,150,"21,435元/平"
中海三居 精装修 拎包入住 采光佳 视野无遮挡 诚心卖,中海燕矶听潮C区 -燕子矶,3室2厅 | 102.74平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,360,"35,040元/平"
满五年唯一，楼层佳 采光没有遮挡 有车位,熊猫汇智家园 -仙林,3室2厅 | 112.36平米 | 南 | 精装 | 中楼层(共14层)  | 板楼,230,"20,470元/平"
百水芊城 正规全明三房 顶楼带阁楼 业主诚售,百水芊城丽水坊 -马群,3室1厅 | 104.1平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,160,"15,370元/平"
电梯洋房三房两卫  中间楼层 精装修  三开间朝南,康桥圣菲 -仙林,3室1厅 | 134.69平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,478,"35,489元/平"
中骏东原璟阅一期 3室2厅 南,中骏东原璟阅一期 -栖霞其它,3室2厅 | 94.47平米 | 南 | 精装 | 低楼层(共23层)  | 板楼,98,"10,374元/平"
华侨城洋房翡翠天域麓园  含双车位和双层储藏室有产权,翡翠天域麓园  -栖霞其它,3室2厅 | 88.31平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,172,"19,477元/平"
置换诚意出售 装修含设施 边户采光好,学仕风华苑 -仙林,3室2厅 | 101.13平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,260,"25,710元/平"
尧化门 尧安新村南苑 低楼层 看房方便,尧安新村南苑 -尧化门,3室1厅 | 82.35平米 | 南 北 | 简装 | 中楼层(共5层)  | 板塔结合,138,"16,758元/平"
尚东花园 3室2厅 南,尚东花园 -仙林,3室2厅 | 101.03平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,365,"36,128元/平"
电梯洋房 大三房 二次装修  采光视野好 诚心出售,融信世纪东方 -仙林,3室2厅 | 123.7平米 | 南 | 精装 | 中楼层(共9层)  | 板楼,485,"39,208元/平"
全新设计精装 保养很好 自住房屋诚心出售,新城香悦澜山 -仙林,3室2厅 | 88.99平米 | 南 | 精装 | 低楼层(共26层)  | 板塔结合,270,"30,341元/平"
燕子矶燕江新城江山苑边户单室套满两年楼层适中,燕江新城江山苑 -万寿,1室1厅 | 53.71平米 | 东 | 其他 | 中楼层(共21层)  | 板塔结合,85,"15,826元/平"
小高层   看房方便，楼层好，采光不挡，视野..,星叶枫情水岸 -仙林,3室2厅 | 111.66平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,335,"30,002元/平"
09年商品房 电梯11层到顶 南北通透,新城尚座花园 -晓庄,3室1厅 | 88.78平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,249,"28,047元/平"
南师 地铁 江景 正规边户四房 中间楼层 电梯房,招商1872公园里 -燕子矶,4室2厅 | 139.61平米 | 南 | 毛坯 | 中楼层(共33层)  | 塔楼,426,"30,514元/平"
此房满两年，中间楼层视野无遮挡，看房随时可约,金地湖城艺境 -仙林,3室2厅 | 95.06平米 | 南 北 | 精装 | 中楼层(共27层)  | 板塔结合,265,"27,878元/平"
玄武区月苑 好楼层精装修 诚心出售 .,兴贤佳园 -迈皋桥,2室1厅 | 70.36平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,140,"19,898元/平"
自住精装修 次高采光好 看房方便 出行便利 南北通透,中垠紫金观邸 -马群,3室2厅 | 90.33平米 | 南 北 | 精装 | 高楼层(共13层)  | 板楼,270,"29,891元/平"
新上 迈皋桥地铁口 中电颐和府邸 三室 配套齐全 急售,中电颐和府邸 -迈皋桥,3室1厅 | 91.24平米 | 南 | 简装 | 低楼层(共29层)  | 板楼,332,"36,388元/平"
诚售招商公园里 楼层视野采光好 简装 边户,招商1872公园里 -燕子矶,3室2厅 | 103.49平米 | 南 | 简装 | 中楼层(共33层)  | 塔楼,330,"31,888元/平"
燕子矶，金浦紫御东方，2019年商品房，南师，诚售,金浦紫御东方 -燕子矶,3室1厅 | 86.75平米 | 南 | 精装 | 低楼层(共34层)  | 暂无数据,256,"29,511元/平"
09年商品房 电梯11层到顶 南北通透,新城尚座花园 -晓庄,3室1厅 | 88.78平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,249,"28,047元/平"
晓庄双地铁口大地伊丽雅特湾花园洋房小区环境优美急售,大地伊丽雅特湾 -晓庄,3室2厅 | 118.47平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,330,"27,856元/平"
玄武区月苑 好楼层精装修 诚心出售 .,兴贤佳园 -迈皋桥,2室1厅 | 70.36平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,140,"19,898元/平"
采光充足 视野不遮挡 诚心出售 ，房主诚心卖,摄山星城尤山苑 -栖霞其它,3室2厅 | 85.27平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,100,"11,728元/平"
好楼层 自住精装修 采光无遮挡 满五唯一无个税  急售,金地明悦 -尧化门,3室2厅 | 92.26平米 | 南 北 | 精装 | 高楼层(共27层)  | 塔楼,208,"22,545元/平"
万科金色领域  位置好 采光足 好楼层,万科金色领域 -仙林,3室2厅 | 113.77平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,330,"29,006元/平"
仙林湖 次新房 凤凰层 视野好  诚心出售,融信世纪东方 -仙林,3室2厅 | 99.57平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,360,"36,156元/平"
百水家园 3室2厅 南,百水家园 -马群,3室2厅 | 84.34平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,160,"18,971元/平"
小区正中间  楼层视野无遮挡  满五唯一,中南世纪雅苑 -马群,3室2厅 | 85.91平米 | 南 | 简装 | 中楼层(共34层)  | 板楼,206,"23,979元/平"
中高楼层带全明阳台 风景视野俱佳 采光无遮挡,学仕风华苑 -仙林,3室1厅 | 90.33平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,215,"23,802元/平"
此房产权房 户型方正 前后无遮挡 视野开阔.,金山花苑 -万寿,3室1厅 | 74.56平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,140,"18,777元/平"
低密度洋房 自住精装 家具家电全留 拎包入住,电建洺悦府 -万寿,3室2厅 | 88.22平米 | 南 | 精装 | 高楼层(共9层)  | 板楼,257,"29,132元/平"
万达茂 看山好房 视野采光好 金陵中小,万达茂御湖仕家一二期 -仙林,3室1厅 | 88.17平米 | 南 | 其他 | 中楼层(共33层)  | 板楼,295,"33,459元/平"
摄山星城闻兰苑自住精装三室 户型方正采光好 诚售可谈,摄山星城闻兰苑 -栖霞其它,3室2厅 | 85.37平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,90,"10,543元/平"
15年左右电梯房，双地铁，万象城，1872，弘阳,万寿花苑 -万寿,3室1厅 | 87.62平米 | 南 北 | 其他 | 中楼层(共18层)  | 板塔结合,190,"21,685元/平"
二期，2021年交付，精装修，边户，无连廊，地铁口,保利国际社区 -燕子矶,3室2厅 | 94.63平米 | 南 北 | 其他 | 中楼层(共33层)  | 板塔结合,309,"32,654元/平"
和燕路 过江隧道 菜场 出行方便 一号线 七号线 配套好,幕府山庄 -晓庄,2室1厅 | 59.25平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,100,"16,878元/平"
燕江新城 双南户型 总价低 地铁6号线,燕江新城山水苑 -万寿,2室1厅 | 70.12平米 | 南 | 其他 | 低楼层(共25层)  | 塔楼,108,"15,403元/平"
丽岛新城 2室1厅 南,丽岛新城 -栖霞其它,2室1厅 | 50.99平米 | 南 | 其他 | 高楼层(共5层)  | 板楼,82,"16,082元/平"
满五年，精装修，户型方正，位置优越，安静无噪音,天泓山庄丽山苑 -马群,3室1厅 | 140.54平米 | 南 | 精装 | 中楼层(共4层)  | 板楼,490,"34,866元/平"
凤悦北园 3室1厅 南,凤悦北园 -万寿,3室1厅 | 87.97平米 | 南 | 其他 | 低楼层(共32层)  | 板楼,170,"19,325元/平"
视野开阔，采光好，6号7号万寿 双地铁出口，品质装修,阳光雅居 -万寿,3室1厅 | 100.15平米 | 南 北 | 其他 | 低楼层(共18层)  | 板楼,250,"24,963元/平"
金浦紫御东方 商品房精装修全明三房 一号线笆斗山站,金浦紫御东方 -燕子矶,3室2厅 | 87.41平米 | 南 北 | 其他 | 中楼层(共32层)  | 暂无数据,262,"29,974元/平"
万达茂中楼层、毛坯有钥匙看房方便、价格可以沟通；,万达茂御湖仕家一二期 -仙林,2室1厅 | 79.85平米 | 南 北 | 其他 | 低楼层(共32层)  | 板楼,208,"26,049元/平"
保利开发 朗诗物业  科技住宅  环境好  晓庄站,保利朗诗蔚蓝 -晓庄,3室2厅 | 134.96平米 | 南 北 | 其他 | 高楼层(共33层)  | 塔楼,480,"35,567元/平"
迈皋桥老街 教师楼 中间楼层 三室 采光好 满五年 唯一,教工新村(栖霞) -迈皋桥,3室1厅 | 93.18平米 | 南 北 | 其他 | 中楼层(共7层)  | 板塔结合,235,"25,221元/平"
一号线 晓庄地铁口 大地低密度花园洋房 双南 带阁楼,大地伊丽雅特湾 -晓庄,2室1厅 | 87.67平米 | 南 北 | 其他 | 高楼层(共11层)  | 板楼,295,"33,649元/平"
业主急售 满五 中楼层 三阳台 有物业 停车方便 全明,东井村41号 -迈皋桥,3室2厅 | 132.7平米 | 南 北 | 其他 | 中楼层(共6层)  | 板塔结合,310,"23,361元/平"
乐居雅 商品房 2房南北户型  6号线燕江新城站,乐居雅花园 -万寿,2室1厅 | 78.7平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,155,"19,696元/平"
八卦洲 洋房 低总价 一楼带院子 配套齐全 交通方便,丽岛新城 -栖霞其它,2室2厅 | 83.92平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,115,"13,704元/平"
7号线旁 上城风景南苑 价格好谈 售价含产权车位,上城风景 -尧化门,3室1厅 | 95.61平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,210,"21,965元/平"
满两年 精装修带暖气 设施齐全 拎包入住,玲珑翠谷 -仙林,3室1厅 | 96.59平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,298,"30,853元/平"
大发燕澜湾 南北通透商品房电梯房 大卧室 1号线燕子矶,大发燕澜湾 -燕子矶,2室2厅 | 107.91平米 | 南 北 | 其他 | 高楼层(共11层)  | 板楼,360,"33,362元/平"
摄山星城 观梅苑 带装修 保养好 看房方便 业主诚心卖,摄山星城观梅苑东区 -栖霞其它,3室1厅 | 85.22平米 | 南 | 其他 | 低楼层(共6层)  | 板塔结合,113,"13,260元/平"
三开间朝南 位置佳 视野开阔 燕子矶体育旁,电建海赋尚城 -万寿,3室1厅 | 87.49平米 | 南 | 其他 | 低楼层(共34层)  | 板塔结合,245,"28,004元/平"
保利朗诗蔚蓝 舒适三恒科技住宅 房主一天未住 满二,保利朗诗蔚蓝 -晓庄,3室1厅 | 116.73平米 | 南 | 简装 | 中楼层(共32层)  | 塔楼,389,"33,325元/平"
仙林环境优美户型不错南师精装学则路地铁近公园,香溪月圆 -仙林,3室1厅 | 105.37平米 | 南 | 其他 | 低楼层(共5层)  | 板楼,310,"29,421元/平"
迈皋桥地铁 高家村小区 大三房 三阳台 满五年唯一住房,高家村42号 -迈皋桥,3室1厅 | 135.24平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,285,"21,074元/平"
保利罗兰香谷 3室2厅 南,保利罗兰香谷 -仙林,3室2厅 | 131.17平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,580,"44,218元/平"
总监推荐 南北通透 人车分流 温馨三房 诚心出售,保利罗兰香谷 -仙林,3室1厅 | 88.68平米 | 南 北 | 其他 | 低楼层(共18层)  | 板塔结合,238,"26,839元/平"
小高层的中上楼层，采光无忧，总价低，精装拎包入住,星叶枫情水岸 -仙林,2室2厅 | 81.31平米 | 南 | 其他 | 高楼层(共9层)  | 板楼,258,"31,731元/平"
亚东城婚装两室 ，中间楼层，地暖ZY空调，自住保养好,亚东城东区 -仙林,2室2厅 | 90.32平米 | 南 | 其他 | 中楼层(共13层)  | 塔楼,299,"33,105元/平"
绿城东方玉园 3室2厅 南 北,绿城东方玉园 -仙林,3室2厅 | 127.15平米 | 南 北 | 其他 | 中楼层(共4层)  | 板楼,792,"62,289元/平"
房型结构方正 业主精装自住 诚心出售,招商1872公园里 -燕子矶,3室1厅 | 89.07平米 | 南 北 | 其他 | 低楼层(共27层)  | 塔楼,280,"31,436元/平"
小区环境好，居住舒适度高，成熟配套，生活交通便利,熊猫汇智家园 -仙林,3室2厅 | 127.57平米 | 南 | 其他 | 低楼层(共16层)  | 塔楼,230,"18,030元/平"
晓庄站1号7号线 一梯两户 大飘窗 总价低 70年产权住宅,大地伊丽雅特湾 -晓庄,1室1厅 | 50.64平米 | 西南 | 其他 | 高楼层(共10层)  | 板塔结合,111,"21,920元/平"
东方天郡东区 2室2厅 东 南,东方天郡东区 -仙林,2室2厅 | 82.88平米 | 东 南 | 其他 | 中楼层(共11层)  | 板楼,329,"39,696元/平"
此房满三年 无增值税 三开间朝南 2009年商品房,中电颐和家园一期 -红山,2室1厅 | 78.17平米 | 南 | 其他 | 高楼层(共11层)  | 板楼,265,"33,901元/平"
居家装修 家具齐全 可以拎包入住 满五唯一,东井村44号 -迈皋桥,2室1厅 | 51.37平米 | 南 北 | 其他 | 中楼层(共7层)  | 板塔结合,128,"24,918元/平"
南砖新村 一号线地铁 中间好楼层 采光好 诚心出售,南砖新村 -迈皋桥,2室1厅 | 68.26平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,150,"21,975元/平"
近地铁，配套齐全，自住精装修，采光无遮挡，诚心卖,中电颐和府邸 -迈皋桥,2室1厅 | 91.09平米 | 南 北 | 精装 | 低楼层(共29层)  | 板楼,350,"38,424元/平"
百水芊城丽水坊 3室2厅 南 北,百水芊城丽水坊 -马群,3室2厅 | 83.08平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,138,"16,611元/平"
吉祥花园刚需两房 户型方正 采光刺眼,吉祥花园 -燕子矶,2室2厅 | 73.92平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,165,"22,322元/平"
融创一期 前排无遮挡 二次装修 三房二卫 含车价,融创玉兰公馆一期 -燕子矶,3室2厅 | 85.99平米 | 南 | 其他 | 低楼层(共31层)  | 板楼,348,"40,470元/平"
