滨江桃园  总价低 两房随时看房,滨江桃园 -江浦街道,2室1厅 | 69.25平米 | 南 | 毛坯 | 低楼层(共28层)  | 板楼,90,"12,997元/平"
青奥体育公园 中间楼层 精装修 采光好 安静 满二,保利西江月 -顶山街道,3室2厅 | 84.98平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,212,"24,948元/平"
急售 青奥公园旁 金地三房  诚心出售  看房方便,金地风华国际 -顶山街道,3室2厅 | 97.24平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,276,"28,384元/平"
地铁口 天润城十四街区 正规三房  配套齐 房主诚心卖,天润城第十四街区 -桥北,3室2厅 | 89.82平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,129.8,"14,452元/平"
"满五唯一 ,业主诚心出售 ,采光好,装修好,生活便捷",天润城第十二街区 -桥北,2室1厅 | 76.62平米 | 南 西 | 简装 | 高楼层(共18层)  | 板塔结合,126,"16,445元/平"
正荣润锦城 三房 中间层 简单装修 满五年 价格低,正荣润锦城 -顶山街道,3室2厅 | 86.31平米 | 南 | 简装 | 低楼层(共33层)  | 板楼,240,"27,807元/平"
江北核中核 江景房 边户 南北通透 满二 业主诚心出售,正荣润锦城 -顶山街道,2室2厅 | 77.97平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板楼,238,"30,525元/平"
房子满5年唯一，居家装修，总价低，采光好,鼎泰家园 -桥北,2室1厅 | 56.78平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,58,"10,215元/平"
"隧道口地铁口，精装次新房，采光视野好,业主出增值税",江畔都会上城 -顶山街道,3室2厅 | 89平米 | 南 北 | 精装 | 中楼层(共32层)  | 板塔结合,288,"32,360元/平"
位置好 隧道口 高楼层 新空毛坯 采光视野好 三房,新立嘉园 -顶山街道,3室2厅 | 94.76平米 | 南 | 毛坯 | 高楼层(共27层)  | 板楼,138,"14,564元/平"
都会上城 隧道口 中低楼层 采光好含增值税 随时可看,江畔都会上城 -顶山街道,3室2厅 | 89平米 | 南 | 其他 | 低楼层(共32层)  | 板塔结合,285,"32,023元/平"
房主换房急售 多层三房创业新村距离地铁200米 满五年,创业新村 -高新区,3室2厅 | 102.12平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,115,"11,262元/平"
江北新区  南信大 盘福雅苑 中间好楼层 户型好,盘福雅苑小区 -浦口其它,3室2厅 | 100.65平米 | 南 | 简装 | 中楼层(共34层)  | 板塔结合,99,"9,837元/平"
地铁S3号线旁 科成苑三房两卫 随时看房 诚意出售,科成苑 -浦口其它,3室2厅 | 119.9平米 | 东南 | 其他 | 高楼层(共18层)  | 暂无数据,99,"8,257元/平"
业主诚心出售，小区环境好，视野开阔，采光充足,旭日爱上城第五区 -桥北,3室2厅 | 135.76平米 | 南 | 毛坯 | 中楼层(共32层)  | 塔楼,380,"27,991元/平"
招商兰溪谷一梯一户双卫，飞机户型，采光好，诚心出售,招商依山溪谷花园西苑 -高新区,3室2厅 | 87.28平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,220,"25,207元/平"
盘城新居 低价出售 业主诚心卖 采光无遮挡 可小刀,盘城新居 -浦口其它,3室1厅 | 91.75平米 | 南 | 简装 | 低楼层(共11层)  | 板楼,95,"10,355元/平"
扬子江隧道口 高品质小区 满两年 随时看房 业主诚心卖,世茂荣里一期 -顶山街道,3室2厅 | 87.3平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,210,"24,055元/平"
精装修 4号线地铁口 满两年 远离马路 高楼层 采光充足,世茂荣里二期 -顶山街道,3室2厅 | 114.61平米 | 东南 | 其他 | 低楼层(共9层)  | 板塔结合,395,"34,465元/平"
远离马路 业主诚心卖房 采光充足 满两年 精装修,世茂荣里二期 -顶山街道,3室2厅 | 113.35平米 | 南 北 | 其他 | 低楼层(共11层)  | 板塔结合,328,"28,937元/平"
老山脚下复式电梯洋房、四个大露台，可用面积大,万科金色半山 -江浦街道,3室1厅 | 108.2平米 | 北 南 | 其他 | 高楼层(共6层)  | 板楼,330,"30,500元/平"
小区配套成熟交通便利 环境优美 楼层好 边户 居家装修,浦珠花园 -江浦街道,3室2厅 | 124.82平米 | 东南 | 其他 | 低楼层(共6层)  | 板楼,220,"17,626元/平"
满两年 4号线地铁口  远离马路 高楼层 交通便利,世茂荣里二期 -顶山街道,3室2厅 | 87.14平米 | 南 北 | 其他 | 中楼层(共11层)  | 板塔结合,280,"32,133元/平"
精装修，中高楼层，采光好，视野好！,正荣润锦城 -顶山街道,3室2厅 | 87.75平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,288,"32,821元/平"
保利开发商  采光无遮挡 户型方正 地铁口 龙湖天街,保利云禧 -江浦街道,3室1厅 | 95.87平米 | 南 北 | 其他 | 中楼层(共11层)  | 板塔结合,320,"33,379元/平"
华府国际 天然氧吧 跃层房 开发商精装 满两年两层,华府国际 -江浦街道,3室2厅 | 102.77平米 | 南 | 精装 | 高楼层(共12层)  | 板楼,270,"26,273元/平"
一层带花园 老山脚下洋房  户型好 毛坯 满两年,明发香山郡 -江浦街道,3室2厅 | 112.08平米 | 南 | 其他 | 低楼层(共11层)  | 板塔结合,265,"23,644元/平"
扬子江隧道口地铁4号线和11号线 电梯花园洋房南北通透,恒辉假日广场 -顶山街道,3室2厅 | 128.74平米 | 南 北 | 毛坯 | 高楼层(共4层)  | 暂无数据,348,"27,032元/平"
精装修，拎包入住，近研创园，诚意出售,亚东滨江和园 -江浦街道,3室1厅 | 87.86平米 | 南 北 | 简装 | 低楼层(共28层)  | 板塔结合,149,"16,959元/平"
此房位于江北新区，户型好，得房率高，次顶楼,通宇林景熙园 -顶山街道,3室2厅 | 110.37平米 | 南 北 | 其他 | 高楼层(共11层)  | 板楼,329,"29,809元/平"
地铁口花园洋房4房户型南北通透,印悦府 -高新区,4室2厅 | 131.04平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,365,"27,855元/平"
地铁口一站，三街区毛坯底跃！.,威尼斯水城第三街区 -桥北,3室2厅 | 243.38平米 | 南 | 其他 | 低楼层(共30层)  | 板楼,328,"13,477元/平"
隧道口精装大三房 小区环境优美 绿化好 业主诚售,阳光帝景 -顶山街道,3室2厅 | 139.15平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,315,"22,638元/平"
馨园大户型 三房两卫 房主急售中,滨江馨园 -江浦街道,3室1厅 | 103.16平米 | 南 北 | 简装 | 低楼层(共33层)  | 板塔结合,170,"16,480元/平"
地铁口 满五年 南北通透 全屋空调地暖 交通便利 诚售,旭日爱上城第五区 -桥北,3室2厅 | 122.75平米 | 南 北 | 精装 | 低楼层(共31层)  | 塔楼,308,"25,092元/平"
装修保养好，带阳光房，房主急售，诚心，业主人况好,威尼斯水城第八街区 -桥北,3室2厅 | 142.19平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,248,"17,442元/平"
业主诚售，满五不唯一，近地铁，一梯两户,天润城第十一街区 -桥北,3室1厅 | 88.77平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,185,"20,841元/平"
满五唯.一 业主诚心卖 价可谈 看房方便 紧.邻地铁,新城花漾紫郡 -高新区,3室1厅 | 89.01平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,180,"20,223元/平"
次新小区隧道口大三房小区前面一排 中间楼层 采光充足,威尼斯水城第十八街区 -桥北,3室2厅 | 115.18平米 | 南 | 简装 | 中楼层(共29层)  | 板塔结合,178,"15,455元/平"
浦泰和三期新小区，简装两房，可根据需求装修  采光好,浦泰和天下三期 -桥北,2室2厅 | 72.7平米 | 南 | 简装 | 高楼层(共18层)  | 板塔结合,140,"19,258元/平"
电梯洋房 恒温恒湿恒氧系统 2018年房子 精装70万,山水云房花园 -桥北,3室1厅 | 89.2平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,198,"22,198元/平"
阅景龙华 满五 简装  诚心出售,国信阅景龙华 -江浦街道,2室2厅 | 101.06平米 | 南 | 简装 | 低楼层(共11层)  | 板楼,180,"17,812元/平"
小区物业绿化好 双地铁线 龙湖天街 一楼带大院子,艾菲花园 -高新区,4室2厅 | 127.72平米 | 南 | 其他 | 低楼层(共26层)  | 板塔结合,250,"19,575元/平"
此房楼层好 视野好 采光佳 居家装修 拎包入住诚心出售,天润城第九街区 -桥北,3室2厅 | 125.23平米 | 南 北 | 简装 | 低楼层(共18层)  | 板楼,258,"20,603元/平"
通风好 采光没问题的 实用面积大 交通便利 隧道口,丽都雅苑 -桥北,4室2厅 | 189.35平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,215,"11,355元/平"
江北新区 扬子江隧道口 经典通透边户两房 满5年 急售,珍珠雅苑 -顶山街道,2室2厅 | 88.27平米 | 南 北 | 简装 | 中楼层(共35层)  | 塔楼,130,"14,728元/平"
户型方正 采光不挡 视野开阔 诚心出售 位置不错,桥工新村 -桥北,2室1厅 | 62.56平米 | 南 北 | 毛坯 | 中楼层(共4层)  | 板楼,96,"15,346元/平"
康华新村，地铁口，得房率高，随时看房,康华新村 -江浦街道,2室1厅 | 61.87平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,116,"18,749元/平"
江北新区  户型方正 诚心出售 看房方便,大华锦绣华城香邑美颂 -桥北,3室2厅 | 98.78平米 | 南 | 其他 | 中楼层(共8层)  | 板楼,270,"27,334元/平"
房源位置  好采光 无遮挡 诚心出售 精装修,中海万锦熙岸一期 -江浦街道,3室2厅 | 95平米 | 南 | 其他 | 低楼层(共24层)  | 板楼,220,"23,158元/平"
此房满两年 户型方正 户型无改动 楼层不错 采光无遮挡,亚东滨江和园 -江浦街道,3室1厅 | 87.86平米 | 南 | 其他 | 低楼层(共28层)  | 板塔结合,128,"14,569元/平"
独门独户 少有的户型 户型好 舒适房型,景福家园 -桥北,3室2厅 | 95.34平米 | 南 北 | 其他 | 低楼层(共11层)  | 板塔结合,128,"13,426元/平"
天润城第七街区 2室1厅 南,天润城第七街区 -桥北,2室1厅 | 88.85平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,152,"17,108元/平"
此房业主诚心出售   居住装修,地和苑 -桥北,1室1厅 | 59.66平米 | 南 | 简装 | 低楼层(共15层)  | 板楼,110,"18,438元/平"
隧道口单室套 70年住宅产权 楼层好 总价低,地和苑 -桥北,1室1厅 | 48.62平米 | 南 | 简装 | 高楼层(共15层)  | 板楼,90,"18,511元/平"
山河水 独栋别墅 业主诚心出售 看房子随时,山河水 -浦口其它,3室2厅 | 378.12平米 | 南 北 | 其他 | 低楼层(共2层)  | 暂无数据,1085,"28,695元/平"
满5年，无户口。。精装修，提包入住,通宇林景雅园 -江浦街道,3室2厅 | 103.65平米 | 南 | 其他 | 高楼层(共11层)  | 板楼,253,"24,410元/平"
格局朝南，两个卧室都是朝南的，楼层好，采光也好,天润城第四街区 -桥北,2室2厅 | 94.08平米 | 南 | 其他 | 中楼层(共10层)  | 板楼,190,"20,196元/平"
精装修 近地铁口 采光很好 电梯房 小高层,天润城第十一街区 -桥北,3室2厅 | 88.51平米 | 南 | 其他 | 中楼层(共11层)  | 板塔结合,198,"22,371元/平"
此房满二年 诚售 刚需得房率高 户型方正 诚意出售,中交锦兰荟 -江浦街道,3室2厅 | 88.09平米 | 南 北 | 其他 | 低楼层(共9层)  | 板塔结合,188,"21,342元/平"
隧道口 大三房 小区环境好 业主诚心卖 交通便利,阳光帝景 -顶山街道,3室1厅 | 130.24平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,270,"20,731元/平"
视野开阔 采光无遮挡 看房有钥匙 随时可看 满五年,江佑铂庭 -江浦街道,2室2厅 | 79.08平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,205,"25,924元/平"
空置 好楼层 采光佳 房主诚心出售,碧云山庄 -江浦街道,3室1厅 | 105.29平米 | 西南 | 其他 | 低楼层(共6层)  | 板楼,236,"22,415元/平"
精装 不沿街 好楼层 万科物业,融侨观邸二期 -江浦街道,3室1厅 | 105.44平米 | 南 | 其他 | 高楼层(共11层)  | 板楼,270,"25,607元/平"
居家精装修 看房方便 房主诚心卖 低总价,揽月山庄 -江浦街道,3室2厅 | 91.46平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,176,"19,244元/平"
明发一期板房 中层带电梯 视野好 随时可看,明发滨江一期 -桥北,3室2厅 | 124.68平米 | 南 北 | 精装 | 中楼层(共12层)  | 板塔结合,245,"19,651元/平"
视野开阔 采光足 配套齐全 生活便利,滨江嘉园 -江浦街道,2室1厅 | 64.71平米 | 南 | 其他 | 高楼层(共31层)  | 板楼,100,"15,454元/平"
户型方正，楼层好，业主诚意出售,亚东滨江和园 -江浦街道,3室1厅 | 87.85平米 | 南 北 | 其他 | 中楼层(共28层)  | 塔楼,160,"18,213元/平"
房子精装修 满五 配套成熟 诚心卖 近地铁,浦东花园 -泰山街道,2室1厅 | 88.12平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,139,"15,774元/平"
飞机户 三开间朝南 中高楼层 南北通透 诚心出售,海润枫景家园 -泰山街道,3室2厅 | 100.14平米 | 南 北 | 简装 | 中楼层(共11层)  | 板塔结合,139,"13,881元/平"
澳林商圈万江 电梯房 中高楼层 采光好,地和苑 -桥北,2室1厅 | 61.65平米 | 南 | 精装 | 中楼层(共15层)  | 板楼,99,"16,059元/平"
滨江桂园 人车分流小区 低总价 位置楼层好,滨江桂园 -江浦街道,3室1厅 | 108.92平米 | 东南 | 毛坯 | 高楼层(共28层)  | 板楼,185,"16,985元/平"
悦生活，悦自在的暖居，60万精装修,西水湾家园23至69幢 -江浦街道,3室2厅 | 88.57平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,230,"25,969元/平"
五桥口别墅 复式带大露台 满二年 诚售,华山山庄 -江浦街道,8室4厅 | 358.39平米 | 南 北 | 其他 | 低楼层(共3层)  | 暂无数据,750,"20,927元/平"
揽月山庄 满5年  看房有钥匙 刚需适合,揽月山庄 -江浦街道,3室2厅 | 100.75平米 | 东南 | 简装 | 低楼层(共6层)  | 板楼,165,"16,378元/平"
绿肺老山 天然氧吧 明发香山郡 一梯两户 人车分流,明发香山郡 -江浦街道,3室2厅 | 113.29平米 | 南 | 毛坯 | 低楼层(共11层)  | 板塔结合,230,"20,302元/平"
高新朗诗未来街区板正户型，楼层好，装修好，业主急售,朗诗未来街区二期 -高新区,3室1厅 | 87.63平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,218,"24,878元/平"
地铁口精装是三房  高楼层看房有密码 虹悦城旁,中建国熙台二期 -江浦街道,3室2厅 | 95.66平米 | 南 北 | 简装 | 高楼层(共28层)  | 板塔结合,290,"30,316元/平"
浦外旁 弘阳物业 品质在线 30万精装 拎包入住,弘阳时光里二区 -高新区,3室2厅 | 91.27平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,285,"31,227元/平"
此房户型格局合理，实用性强适合家里人多家庭,江岸水城 -桥北,6室2厅 | 197.01平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,230,"11,675元/平"
工业大学地铁口 通透两房 生活便利,同心佳园 -江浦街道,2室1厅 | 87.75平米 | 南 | 其他 | 低楼层(共11层)  | 板楼,155,"17,664元/平"
次新房，得房率高，诚心出售，视野好，采光佳！,阅山居 -顶山街道,6室2厅 | 208.06平米 | 南 | 其他 | 低楼层(共5层)  | 暂无数据,1000,"48,064元/平"
凤凰楼层视野好，空中大平层业主诚售价格可刀,金隅紫京叠院 -江浦街道,4室2厅 | 171.24平米 | 南 北 | 其他 | 高楼层(共11层)  | 板楼,535,"31,243元/平"
此房户型通透，全天采光。花园露台外加大阁楼！,威尼斯水城第二街区 -桥北,5室2厅 | 93.64平米 | 南 | 其他 | 高楼层(共5层)  | 板塔结合,258,"27,553元/平"
业主自住精装修 保养好 楼下商店 菜场 业主诚售,明发滨江新城二期 -桥北,1室1厅 | 47.12平米 | 北 | 其他 | 低楼层(共27层)  | 塔楼,128,"27,165元/平"
扬子江隧道口 交通出行便利 业主诚心出售 采光充足,盛泉新城 -顶山街道,3室1厅 | 96.14平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,198,"20,595元/平"
户型方正 采光好 视野好 诚心出售,弘阳旭日上城三区 -桥北,2室2厅 | 87.88平米 | 南 北 | 其他 | 中楼层(共24层)  | 板楼,195,"22,190元/平"
江北新区 扬子江纬三路隧道出口 建宁路隧道口 优..,大新嘉苑 -顶山街道,2室1厅 | 70.71平米 | 南 北 | 其他 | 低楼层(共28层)  | 暂无数据,110,"15,557元/平"
海科新寓万翠园 户型方正 3房 游府西街 五桥口,海科新寓 -江浦街道,3室2厅 | 100.07平米 | 南 北 | 其他 | 低楼层(共18层)  | 暂无数据,146,"14,590元/平"
近雨山路地铁低密度精装顶跃有电梯三阳台带露台,北江锦城 -江浦街道,4室2厅 | 164.82平米 | 南 北 | 其他 | 高楼层(共11层)  | 板楼,303,"18,384元/平"
银城旭辉白马澜山 精妆拎包入住  一楼带花园 上下两层,旭辉银城白马澜山 -江浦街道,3室1厅 | 86.31平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,315,"36,497元/平"
房东急卖，请多多推荐，价格可谈，有钥，大平复式,新理想佳园 -江浦街道,5室2厅 | 220.05平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,299,"13,588元/平"
爱上花园复式三房 满两年 随时看房  诚心出售,弘阳爱上花园 -泰山街道,3室2厅 | 116.52平米 | 南 北 | 其他 | 低楼层(共11层)  | 板楼,256,"21,971元/平"
长江大桥北路地铁口。跃层带阳光房,桥北新村 -桥北,4室2厅 | 165.7平米 | 南 西南 | 精装 | 高楼层(共6层)  | 板楼,265,"15,993元/平"
揽月山庄 3室1厅 南 北,揽月山庄 -江浦街道,3室1厅 | 87.02平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,175,"20,111元/平"
大润发地铁口 城南新村精装2房 满五唯一随时看,城南新村 -江浦街道,2室2厅 | 79.82平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,150,"18,793元/平"
五桥口 研创园 滨江馨园 电梯精装三房 随时看房,滨江馨园 -江浦街道,3室2厅 | 103.27平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,186,"18,012元/平"
业主诚心出售 居家装修 毛坯价 紧靠地铁,旭日学府 -高新区,3室2厅 | 96.52平米 | 南 | 其他 | 高楼层(共11层)  | 板楼,190,"19,686元/平"
正荣润江城 3室2厅 南,正荣润江城 -顶山街道,3室2厅 | 88.19平米 | 南 | 其他 | 中楼层(共33层)  | 板塔结合,330,"37,420元/平"
满五年 南北通透 双南不临街 随时看房,浦东路4号小区 -桥北,3室2厅 | 96.84平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,188,"19,414元/平"
非顶楼大四房 视野好采光佳    南北通透  业主急售,天润城第七街区 -桥北,4室1厅 | 160.73平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,205,"12,755元/平"
地铁口精装修两房 实地使用面积大，采光好业主急售,威尼斯水城第二街区 -桥北,2室2厅 | 91.87平米 | 南 北 | 其他 | 低楼层(共11层)  | 板塔结合,178,"19,376元/平"
满五年央企保利 中金楼层 户型方正 江景房 诚心出售,保利西江月 -顶山街道,3室2厅 | 107.36平米 | 南 | 其他 | 中楼层(共34层)  | 板楼,320,"29,807元/平"
开发商精装修交付 三大件齐全 准新房,海悦花园 -泰山街道,3室2厅 | 110.17平米 | 南 | 其他 | 低楼层(共20层)  | 板楼,310,"28,139元/平"
满五唯一无个税 多层二楼上下方便 不临街不吵闹 诚售,天润城第十街区 -桥北,3室2厅 | 91.24平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,182,"19,948元/平"
中楼层，看房效果好，位置好，视野棒,弘阳旭日上城二区 -桥北,3室2厅 | 94.35平米 | 南 北 | 其他 | 低楼层(共34层)  | 板楼,195,"20,668元/平"
好楼层 采光无遮挡 精装修小三房 诚心出售,万科璞悦山 -江浦街道,3室2厅 | 84.02平米 | 南 北 | 其他 | 高楼层(共8层)  | 板楼,192,"22,852元/平"
精装修，满两年，三南户型，诚心卖房，采光好,正荣润锦城 -顶山街道,3室1厅 | 90.51平米 | 南 北 | 其他 | 高楼层(共33层)  | 板楼,260,"28,727元/平"
天润城第三街区 2室2厅 南 北,天润城第三街区 -桥北,2室2厅 | 78.94平米 | 南 北 | 其他 | 低楼层(共11层)  | 板楼,150,"19,002元/平"
江核青奥板块，保利西江月，高楼层，采光视野佳,保利西江月 -顶山街道,3室2厅 | 87.39平米 | 南 | 其他 | 高楼层(共34层)  | 板楼,230,"26,319元/平"
雅居乐滨江国际二期 138平 380万急售,雅居乐滨江国际二期 -顶山街道,4室2厅 | 138.36平米 | 南 北 | 简装 | 低楼层(共32层)  | 板楼,380,"27,465元/平"
中交锦兰荟 楼层好 中间位置 纯毛坯一次未住 房主诚售,中交锦兰荟 -江浦街道,3室2厅 | 85.78平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,172,"20,052元/平"
小高层 一梯一户 户型方正 南北通透 精装交付,绿地海悦 -顶山街道,3室2厅 | 127.1平米 | 南 北 | 其他 | 中楼层(共17层)  | 板楼,410,"32,259元/平"
江核七里河畔 准新房 中楼层 位置好,江与城 -顶山街道,4室2厅 | 131.17平米 | 南 | 其他 | 高楼层(共16层)  | 板楼,500,"38,119元/平"
满五唯一 居家装修 精致两房 采光视野好 业主诚心卖,天润城第十六街区南区 -桥北,2室1厅 | 77.03平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,135,"17,526元/平"
十号线中交锦兰荟雨山地铁站 楼层好  视野采光好,中交锦兰荟 -江浦街道,3室2厅 | 89.22平米 | 南 | 其他 | 高楼层(共11层)  | 板塔结合,178,"19,951元/平"
天凤国际大厦 2室2厅 南,天凤国际大厦 -江浦街道,2室2厅 | 76.93平米 | 南 | 其他 | 低楼层(共26层)  | 板楼,175,"22,748元/平"
采光好 交通便利 业主诚心出售,杨柳新村 -江浦街道,2室1厅 | 76.7平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,88,"11,474元/平"
熙龙山院上叠，看房有钥匙，诚售,东方熙龙山院 -江浦街道,5室3厅 | 147.77平米 | 南 | 其他 | 3层  | 板楼,540,"36,544元/平"
正荣润江城 5室1厅 东南,正荣润江城 -顶山街道,5室1厅 | 228.81平米 | 东南 | 其他 | 低楼层(共33层)  | 板塔结合,590,"25,786元/平"
西水湾二期 顶楼带阁楼露台 精装修 诚心卖 满五唯一,西水湾家园23至69幢 -江浦街道,2室2厅 | 90.53平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,155,"17,122元/平"
雅居乐滨江国际 大平层 毛坯 看房随时 江景房,雅居乐滨江国际三四期 -顶山街道,4室2厅 | 291.95平米 | 南 北 东 | 其他 | 中楼层(共27层)  | 板楼,900,"30,828元/平"
亚泰山语湖 3室2厅 南,亚泰山语湖 -高新区,3室2厅 | 83.5平米 | 南 | 精装 | 高楼层(共4层)  | 板楼,198,"23,713元/平"
精装未入住，家具全留，满两年朝南俩房，采光楼层好,新城花漾紫郡 -高新区,2室1厅 | 68.88平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,153,"22,213元/平"
七里河畔 刚需小3房 楼层好 总价低 满2年,江与城 -顶山街道,3室2厅 | 88.06平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,290,"32,933元/平"
高新区 临地铁 双卫 板楼 南北通透 商品房 配套齐全,弘阳时光里二区 -高新区,4室1厅 | 90.35平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,240,"26,564元/平"
润锦城 四房两卫 得房率高 高层 芳草园 东边户毛坯,正荣润锦城 -顶山街道,4室2厅 | 122.61平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,397,"32,380元/平"
楼栋位置好，无遮挡。双南户型，保养好，诚心出售,玉澜府 -泰山街道,3室1厅 | 113.55平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,245,"21,577元/平"
花园洋房 顶跃户型 环境优美 满两年 无增值税,大华锦绣时代 -桥北,4室2厅 | 142.71平米 | 南 北 | 毛坯 | 高楼层(共8层)  | 板楼,405,"28,380元/平"
弘阳广场 临湖 中间楼栋 诚心出售 随时看房,弘阳旭日上城二区 -桥北,3室2厅 | 93.47平米 | 东 南 | 精装 | 低楼层(共34层)  | 板塔结合,195,"20,863元/平"
香邑美颂 近11号线 小区环境好 业主诚心出售,大华锦绣华城香邑美颂 -桥北,2室1厅 | 78.66平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,180,"22,884元/平"
威尼斯十三街区中楼层，简单装修两房，业主诚心出售，,威尼斯水城第十三街区 -桥北,2室2厅 | 89.73平米 | 南 | 简装 | 中楼层(共28层)  | 板楼,152,"16,940元/平"
浦东路4号小区 6室1厅 南,浦东路4号小区 -桥北,6室1厅 | 137.97平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,155,"11,235元/平"
此房是润锦经典大四房 户型开发商精装 采光好,正荣润锦城 -顶山街道,4室2厅 | 135.68平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,430,"31,693元/平"
下桥口带大露台，总价低。业主诚心出售。,旭日华庭 -桥北,2室1厅 | 98.27平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,178,"18,114元/平"
香榭美颂洋房  满五唯一 三房精装修 采光及视野好,大华锦绣华城香榭美颂 -桥北,3室2厅 | 92.06平米 | 东 南 西 北 | 精装 | 中楼层(共8层)  | 板楼,280,"30,415元/平"
南北通透 户型方正 采光视野都不挡 业主诚心卖,天润城第十四街区 -桥北,3室2厅 | 89.32平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,158,"17,690元/平"
威尼斯水城第七街区 3室1厅 南,威尼斯水城第七街区 -桥北,3室1厅 | 110.67平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,175,"15,813元/平"
小高层板房采光好视野开阔房东诚售,明发滨江一期 -桥北,3室2厅 | 118.9平米 | 南 | 精装 | 中楼层(共10层)  | 板塔结合,248,"20,858元/平"
急售 3号线地铁口 大三房 诚意出售 采光好 无遮挡,天华硅谷庄园 -泰山街道,3室2厅 | 114.59平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,210,"18,327元/平"
创业新村 3室2厅 南,创业新村 -高新区,3室2厅 | 110.44平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,142,"12,858元/平"
东边户河景房，满二，全新未住，诚心出售,江与城 -顶山街道,3室2厅 | 133.59平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,475,"35,557元/平"
老山脚下 联排边户 带侧边院子 香山湖一号,香山湖一号 -江浦街道,5室2厅 | 322.3平米 | 南 | 精装 | 低楼层(共3层)  | 暂无数据,917,"28,452元/平"
双地铁口 锦汇苑 跃层五室 精装修 拎包入住,锦汇苑 -桥北,5室2厅 | 103.67平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,195,"18,810元/平"
中高楼层  自费精装修  短暂居住   视野很好,雅居乐滨江国际一期 -顶山街道,4室2厅 | 244.87平米 | 东南 | 其他 | 高楼层(共27层)  | 板楼,956,"39,042元/平"
新装一年多  没有住过 装修成本150万 顶跃,华府国际 -江浦街道,5室2厅 | 128.47平米 | 南 北 | 其他 | 高楼层(共11层)  | 板楼,400,"31,136元/平"
精装修次新房   万科物业配套全,恒大溪山公馆 -江浦街道,3室2厅 | 148.11平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,580,"39,161元/平"
中建国熙台一期  业主诚心卖   随时看房,中建国熙台一期 -江浦街道,5室2厅 | 166.79平米 | 南 | 其他 | 中楼层(共18层)  | 板塔结合,515,"30,878元/平"
房主诚心卖 户型好 位置佳 刚需两房,滨江馨园 -江浦街道,2室1厅 | 75.06平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,128,"17,054元/平"
