树人 经典户型 总高12层 有露台 一梯两户,清江花苑碧波园 -定淮门大街,2室1厅 | 74.42平米 | 南 | 简装 | 高楼层(共12层)  | 板楼,435,"58,453元/平"
绿茵园 不临街 随时看 户型方正 实用面积大 秦淮河畔,清江花苑绿茵园 -定淮门大街,4室2厅 | 111.74平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,489,"43,763元/平"
鼓楼小市村低总价低楼层两房 业主诚心卖,小市村 -小市,2室1厅 | 52.9平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,123,"23,252元/平"
南大宿舍满五唯一双南中间楼层小区中间位置,二号新村 -湖南路,3室1厅 | 74.43平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,288,"38,695元/平"
大户型顶跃得房率高，采光好视野开阔,紫苑 -许府巷,5室2厅 | 168.76平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,360,"21,333元/平"
金信电梯大三房中高楼层看房方便诚心卖,金信花园 -龙江,3室2厅 | 115.2平米 | 南 | 简装 | 中楼层(共12层)  | 板楼,505,"43,837元/平"
可观江景，房主诚心出售。只等有缘人,恒盛金陵湾 -定淮门大街,3室2厅 | 123.99平米 | 南 | 精装 | 中楼层(共56层)  | 板塔结合,640,"51,618元/平"
秦淮河畔 满五唯一 户型方正 生活方便,凤凰街 -汉中门大街,2室2厅 | 89.4平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,255,"28,524元/平"
新河一村 一楼带院子 精装 拎包入住 不临街 采光不挡,新河一村 -定淮门大街,3室1厅 | 48.72平米 | 西南 | 精装 | 低楼层(共7层)  | 板楼,349,"71,634元/平"
龙江4号地铁口 一线江景 有车位 高教新村 宝船＋宁海,高教新村 -草场门大街,3室1厅 | 97.86平米 | 南 | 精装 | 高楼层(共28层)  | 塔楼,339,"34,642元/平"
宝船宁海 4号线龙江地铁口 南北通透 采光充足 满五年,宁工新寓二村 -草场门大街,3室1厅 | 77.42平米 | 南 西 北 | 简装 | 中楼层(共7层)  | 板楼,299,"38,621元/平"
鼓楼全新未入住过 电建泛悦 全屋空调加地暖  精装修,电建中储泛悦城市广场 -小市,3室2厅 | 106.47平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,408,"38,321元/平"
世茂外滩新城 高楼层 精装未住 采光充足视野开阔 江景,世茂外滩新城 -热河南路,2室2厅 | 101.97平米 | 南 | 精装 | 高楼层(共55层)  | 板塔结合,408,"40,012元/平"
云南路西桥花苑好房出售，业主诚心卖,西桥花苑 -湖南路,3室1厅 | 83.64平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,345,"41,249元/平"
小三居 得房率高 业主出售诚心 装修好 小区棒,恒盛金陵湾 -定淮门大街,3室2厅 | 106.97平米 | 南 北 | 精装 | 低楼层(共25层)  | 板塔结合,580,"54,221元/平"
精装修满五 采光无遮挡双南 交通便利 低总价,南阴阳营 -宁海路,3室1厅 | 70.45平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,330,"46,842元/平"
汉中门外大街 一楼带院三房出售,汉中门外大街 -汉中门大街,3室1厅 | 66.97平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,455,"67,941元/平"
