Total_Price,Unit_Price,District,Area,Furnished,Bedroom,Living_Room,Total_Floors,Detailed_Floor,Facing_South
72.8,7656,Gaochun,95.09,Other,3,2,18,13,1
110,7389,Gaochun,148.87,Other,3,2,11,5,1
58,6741,Gaochun,86.05,Other,3,2,20,10,1
65,6856,Gaochun,94.81,Other,3,2,26,12,1
72.8,7634,Gaochun,95.37,Other,3,2,20,10,1
75,6177,Gaochun,121.43,Other,3,2,11,5,1
82,6560,Gaochun,125,Other,4,2,27,13,1
73.8,7767,Gaochun,95.02,Other,3,2,20,15,1
62.6,6215,Gaochun,100.74,Other,3,2,11,8,0
57,5805,Gaochun,98.2,Other,3,2,11,5,1
90,7251,Gaochun,124.13,Other,3,2,11,3,1
85,6801,Gaochun,124.99,Other,4,2,27,6,1
79,6264,Gaochun,126.12,Other,4,2,27,13,1
62,6553,Gaochun,94.62,Other,3,2,8,2,1
55,5130,Gaochun,107.23,Other,3,2,7,5,1
106,8401,Gaochun,126.19,Other,4,2,18,13,1
66.8,7025,Gaochun,95.09,Other,3,2,18,4,1
103,7283,Gaochun,141.43,Other,4,2,8,2,1
68.8,7846,Gaochun,87.69,Other,3,2,6,2,1
120,10116,Gaochun,118.63,Other,4,2,8,4,0
47.8,5463,Gaochun,87.5,Other,3,1,24,11,0
53,5811,Gaochun,91.21,Other,2,2,6,5,1
108,8108,Gaochun,133.21,Other,3,2,26,19,0
95,6961,Gaochun,136.49,Other,4,2,26,19,1
57,6173,Gaochun,92.35,Other,3,2,28,6,1
108,9627,Gaochun,112.19,Other,3,2,11,3,1
53.8,6364,Gaochun,84.55,Not Furnished,2,2,11,3,1
50.8,5949,Gaochun,85.4,Not Furnished,2,2,11,5,0
53.8,6192,Gaochun,86.9,Not Furnished,2,2,11,5,1
53,5807,Gaochun,91.27,Not Furnished,2,2,25,12,1
42,5747,Gaochun,73.09,Other,2,2,27,6,1
69.6,6832,Gaochun,101.88,Fully Furnished,2,2,5,3,1
55,5095,Gaochun,107.95,Not Furnished,3,2,25,18,0
75,5695,Gaochun,131.71,Not Furnished,4,2,8,4,0
90,7318,Gaochun,123,Not Furnished,3,2,20,10,1
92.8,6487,Gaochun,143.07,Not Furnished,3,2,6,2,1
97,9164,Gaochun,105.85,Fully Furnished,3,2,10,8,1
76,6296,Gaochun,120.72,Fully Furnished,3,2,11,3,0
142,8320,Gaochun,170.68,Other,4,2,10,3,0
93,6980,Gaochun,133.25,Part Furnished,3,2,27,13,1
72,7400,Gaochun,97.31,Not Furnished,3,2,18,13,1
101.8,7500,Gaochun,135.75,Other,3,2,6,3,1
92,7023,Gaochun,131,Fully Furnished,3,2,7,4,1
120,8877,Gaochun,135.19,Fully Furnished,3,2,18,4,1
70,5297,Gaochun,132.17,Other,3,2,6,3,1
100,7708,Gaochun,129.75,Not Furnished,4,2,8,2,1
53.8,5694,Gaochun,94.49,Other,3,2,27,13,1
60,6433,Gaochun,93.28,Other,3,2,23,11,0
55,5934,Gaochun,92.7,Other,3,2,27,6,0
56,5951,Gaochun,94.11,Other,3,2,27,19,1
65,7012,Gaochun,92.7,Other,3,2,27,6,1
58,6462,Gaochun,89.76,Not Furnished,2,2,9,5,1
55,6874,Gaochun,80.02,Other,4,2,6,5,1
41.8,5873,Gaochun,71.18,Other,2,1,6,5,0
62.8,8428,Gaochun,74.52,Other,3,1,8,6,0
55,6458,Gaochun,85.17,Other,2,2,10,8,1
100,7463,Gaochun,134,Other,3,2,27,19,1
39.8,5190,Gaochun,76.7,Other,2,2,16,12,1
80.8,7151,Gaochun,113,Other,3,2,11,5,0
63.8,5665,Gaochun,112.63,Other,3,2,16,12,0
35,3889,Gaochun,90,Not Furnished,2,1,6,2,1
75,7143,Gaochun,105,Not Furnished,3,2,8,2,0
55,5802,Gaochun,94.81,Other,3,2,26,19,1
60,6452,Gaochun,93,Other,3,2,27,19,1
67.5,7106,Gaochun,95,Other,3,2,27,6,1
60,6473,Gaochun,92.7,Other,3,2,27,13,0
66,7697,Gaochun,85.75,Other,3,2,19,9,1
45.9,5337,Gaochun,86.01,Other,2,2,11,5,1
62,6100,Gaochun,101.64,Other,3,2,10,3,1
62,6632,Gaochun,93.5,Other,2,2,6,3,1
93,7816,Gaochun,119,Other,3,2,18,13,1
75,8309,Gaochun,90.27,Other,2,2,6,3,1
55,7174,Gaochun,76.67,Other,2,2,20,5,1
59.8,6894,Gaochun,86.75,Other,2,2,6,3,1
58,6509,Gaochun,89.12,Other,2,2,11,5,1
52,5746,Gaochun,90.51,Other,2,2,6,3,1
55,5832,Gaochun,94.31,Other,2,2,16,8,1
56,6576,Gaochun,85.17,Other,2,2,10,3,1
59,6860,Gaochun,86.01,Other,2,1,11,8,0
70,7548,Gaochun,92.75,Fully Furnished,3,2,27,6,1
125,8854,Gaochun,141.18,Other,4,2,8,2,1
99.8,8135,Gaochun,122.69,Other,3,2,27,19,1
79.8,6437,Gaochun,123.98,Other,3,2,7,5,1
83,6640,Gaochun,125,Other,4,2,27,19,1
95,7140,Gaochun,133.07,Other,3,2,6,2,1
92,9184,Gaochun,100.18,Other,3,2,8,4,1
76,9511,Gaochun,79.91,Other,2,2,11,3,1
99.8,8447,Gaochun,118.16,Other,4,2,10,3,1
69.8,5860,Gaochun,119.12,Other,3,2,11,8,1
80,7986,Gaochun,100.18,Other,3,2,8,6,1
82.8,6857,Gaochun,120.76,Other,3,2,11,5,1
60,6014,Gaochun,99.77,Other,3,2,11,5,0
68.6,7824,Gaochun,87.68,Other,2,2,8,4,1
98,9016,Gaochun,108.7,Other,3,2,8,2,1
85,6928,Gaochun,122.7,Other,3,2,27,6,1
106,8984,Gaochun,118,Other,4,2,10,5,0
75,7894,Gaochun,95.02,Other,3,2,20,10,1
92.8,9296,Gaochun,99.83,Other,3,2,27,19,1
74,7159,Gaochun,103.38,Other,3,2,27,19,1
