Total_Price,Unit_Price,District,Area,Furnished,Bedroom,Living_Room,Total_Floors,Detailed_Floor,Facing_South
310,21795,Gulou,142.24,Other,4,2,6,5,0
480,19548,Gulou,245.55,Part Furnished,5,2,32,15,0
850,32541,Gulou,261.21,Other,4,2,55,12,1
1300,59944,Gulou,216.87,Other,5,2,47,22,0
562,33059,Gulou,170,Other,4,2,11,8,0
2400,62593,Gulou,383.43,Other,9,3,3,1,0
480,38493,Gulou,124.7,Other,3,2,6,2,1
1210,50544,Gulou,239.4,Other,6,2,9,2,1
690,34723,Gulou,198.72,Other,5,1,6,5,0
398,50450,Gulou,78.89,Other,4,2,7,5,1
960,62000,Gulou,154.84,Other,4,3,55,25,1
390,34350,Gulou,113.54,Other,4,2,7,5,1
950,51888,Gulou,183.09,Other,4,2,6,5,0
1390,58655,Gulou,236.98,Part Furnished,5,3,8,6,0
576,29331,Gulou,196.38,Other,5,2,6,5,0
450,56797,Gulou,79.23,Fully Furnished,2,1,6,5,1
298,57574,Gulou,51.76,Fully Furnished,3,1,7,5,0
145,34336,Gulou,42.23,Fully Furnished,1,1,6,3,1
470,76213,Gulou,61.67,Fully Furnished,2,1,7,4,0
275,40844,Gulou,67.33,Fully Furnished,2,1,7,4,0
240,38642,Gulou,62.11,Part Furnished,2,1,7,4,0
210,55336,Gulou,37.95,Fully Furnished,1,1,7,5,1
118,19950,Gulou,59.15,Part Furnished,2,1,6,5,1
385,86401,Gulou,44.56,Part Furnished,2,1,5,4,0
170,27865,Gulou,61.01,Fully Furnished,2,1,6,5,0
130,20658,Gulou,62.93,Fully Furnished,2,1,5,3,0
220,43608,Gulou,50.45,Part Furnished,2,1,8,4,1
290,44685,Gulou,64.9,Fully Furnished,2,1,7,4,0
172,30847,Gulou,55.76,Fully Furnished,2,1,7,5,0
215,45590,Gulou,47.16,Part Furnished,2,1,6,2,0
215,45590,Gulou,47.16,Part Furnished,2,1,6,2,0
230,42751,Gulou,53.8,Part Furnished,2,1,6,5,1
310,75981,Gulou,40.8,Part Furnished,2,1,7,5,0
162,22683,Gulou,71.42,Part Furnished,2,1,7,5,0
148,27623,Gulou,53.58,Fully Furnished,2,1,6,3,0
450,60057,Gulou,74.93,Fully Furnished,2,1,7,4,0
145,29288,Gulou,49.51,Part Furnished,2,1,6,5,1
220,38945,Gulou,56.49,Part Furnished,2,1,6,2,1
400,64062,Gulou,62.44,Part Furnished,2,1,7,5,0
500,65868,Gulou,75.91,Part Furnished,2,2,7,4,0
685,73847,Gulou,92.76,Other,2,1,6,3,0
198,34423,Gulou,57.52,Fully Furnished,2,1,6,5,1
178,24730,Gulou,71.98,Fully Furnished,2,1,7,4,1
180,23613,Gulou,76.23,Part Furnished,2,1,6,3,1
258,27874,Gulou,92.56,Fully Furnished,2,2,7,5,0
450,69638,Gulou,64.62,Fully Furnished,2,1,3,1,0
256,39907,Gulou,64.15,Other,2,1,7,5,1
145,28260,Gulou,51.31,Part Furnished,2,1,6,2,0
558,52429,Gulou,106.43,Fully Furnished,2,1,55,39,1
145,23999,Gulou,60.42,Other,2,1,7,4,0
175,30356,Gulou,57.65,Part Furnished,2,1,6,3,0
167,30337,Gulou,55.05,Part Furnished,1,1,6,3,0
165,22873,Gulou,72.14,Fully Furnished,2,1,5,4,1
320,40885,Gulou,78.27,Fully Furnished,2,1,26,6,0
439,41357,Gulou,106.15,Fully Furnished,2,2,55,25,0
230,32680,Gulou,70.38,Fully Furnished,2,1,6,5,0
456,43479,Gulou,104.88,Fully Furnished,2,1,55,12,1
110,24160,Gulou,45.53,Part Furnished,2,1,6,3,0
120,22422,Gulou,53.52,Part Furnished,2,1,7,4,1
120,23786,Gulou,50.45,Fully Furnished,2,1,7,2,0
365,36139,Gulou,101,Part Furnished,2,1,26,6,1
439,41357,Gulou,106.15,Fully Furnished,2,2,55,25,0
188,31549,Gulou,59.59,Fully Furnished,2,1,5,4,0
165,22873,Gulou,72.14,Fully Furnished,2,1,5,4,1
320,40885,Gulou,78.27,Fully Furnished,2,1,26,6,0
456,43479,Gulou,104.88,Fully Furnished,2,1,55,12,1
230,32680,Gulou,70.38,Fully Furnished,2,1,6,5,0
120,22422,Gulou,53.52,Part Furnished,2,1,7,4,1
200,23602,Gulou,84.74,Fully Furnished,2,2,16,4,1
350,37026,Gulou,94.53,Fully Furnished,2,2,17,8,1
310,76904,Gulou,40.31,Fully Furnished,1,1,5,2,0
170,22487,Gulou,75.6,Part Furnished,3,1,7,5,0
105,27323,Gulou,38.43,Other,1,1,7,4,0
85,19145,Gulou,44.4,Other,2,1,4,3,0
180,20831,Gulou,86.41,Other,2,2,18,13,0
170,23011,Gulou,73.88,Other,2,2,6,3,1
150,29674,Gulou,50.55,Other,2,1,7,5,0
128,20847,Gulou,61.4,Other,2,1,7,5,0
390,70119,Gulou,55.62,Other,2,2,7,2,1
230,41427,Gulou,55.52,Other,2,1,7,2,0
380,64604,Gulou,58.82,Other,2,1,7,4,0
189,32739,Gulou,57.73,Other,2,1,7,5,1
147,25193,Gulou,58.35,Other,2,1,6,2,1
455,66308,Gulou,68.62,Other,2,1,6,5,0
265,33962,Gulou,78.03,Other,2,1,28,13,0
263,54701,Gulou,48.08,Other,1,1,7,2,1
260,49857,Gulou,52.15,Other,2,1,7,5,1
430,49523,Gulou,86.83,Other,2,2,19,14,1
130,20938,Gulou,62.09,Other,2,1,6,3,0
410,81285,Gulou,50.44,Fully Furnished,1,1,7,2,0
368,72370,Gulou,50.85,Other,2,1,6,3,0
235,40323,Gulou,58.28,Other,2,1,5,3,0
330,39822,Gulou,82.87,Other,3,1,7,5,1
362,79930,Gulou,45.29,Other,1,1,7,5,1
240,41617,Gulou,57.67,Other,2,1,7,2,0
250,38599,Gulou,64.77,Other,3,0,5,3,1
238,45735,Gulou,52.04,Other,3,1,7,2,0
218,38680,Gulou,56.36,Other,2,1,6,5,0
380,60996,Gulou,62.3,Other,3,1,7,5,1
385,74627,Gulou,51.59,Other,2,1,7,4,1
179,46506,Gulou,38.49,Other,1,1,6,5,1
168,26035,Gulou,64.53,Other,2,1,7,5,1
378,77175,Gulou,48.98,Other,2,1,7,4,0
330,49269,Gulou,66.98,Other,2,1,7,4,0
340,53317,Gulou,63.77,Other,2,1,7,5,1
338,65862,Gulou,51.32,Other,2,1,7,5,0
170,31794,Gulou,53.47,Other,2,1,6,5,1
130,29168,Gulou,44.57,Other,1,0,19,14,0
225,39070,Gulou,57.59,Other,2,1,6,3,0
189,37808,Gulou,49.99,Other,2,1,7,2,1
85,35447,Gulou,23.98,Other,1,1,6,3,1
266,39631,Gulou,67.12,Other,2,1,26,19,0
252,37456,Gulou,67.28,Other,3,1,5,3,0
220,35439,Gulou,62.08,Other,2,1,7,4,1
258,40927,Gulou,63.04,Other,2,1,26,19,0
103,17532,Gulou,58.75,Other,2,1,7,5,1
360,59075,Gulou,60.94,Other,2,1,7,5,0
125,21259,Gulou,58.8,Other,2,1,6,5,0
155,27193,Gulou,57,Other,2,1,6,3,1
296,36977,Gulou,80.05,Other,1,2,26,19,1
258,40927,Gulou,63.04,Other,2,1,26,19,0
480,80713,Gulou,59.47,Part Furnished,2,1,8,4,0
155,27193,Gulou,57,Other,2,1,6,3,1
150,29286,Gulou,51.22,Other,2,1,6,2,1
360,53145,Gulou,67.74,Part Furnished,2,1,7,2,0
220,35439,Gulou,62.08,Other,2,1,7,4,1
252,37456,Gulou,67.28,Other,3,1,5,3,0
288,32082,Gulou,89.77,Other,2,1,11,5,0
138,24309,Gulou,56.77,Fully Furnished,2,1,6,5,0
125,22753,Gulou,54.94,Other,2,1,6,5,1
570,46270,Gulou,123.19,Other,3,2,10,5,1
398,81175,Gulou,49.03,Other,2,1,7,4,0
620,44147,Gulou,140.44,Other,3,2,55,25,0
588,44411,Gulou,132.4,Not Furnished,3,1,32,15,1
260,34676,Gulou,74.98,Other,3,1,7,4,0
785,59660,Gulou,131.58,Other,4,1,11,3,1
272,31168,Gulou,87.27,Other,3,1,7,5,0
369,44918,Gulou,82.15,Other,2,1,6,2,0
588,51738,Gulou,113.65,Other,3,1,32,15,0
230,34613,Gulou,66.45,Part Furnished,3,1,5,3,1
216,26883,Gulou,80.35,Other,3,1,6,5,1
260,33042,Gulou,78.69,Other,3,1,6,2,1
420,42224,Gulou,99.47,Other,3,1,11,8,1
540,52874,Gulou,102.13,Fully Furnished,2,2,54,25,1
499,38426,Gulou,129.86,Other,3,1,32,7,1
660,65379,Gulou,100.95,Other,3,2,6,5,0
700,74875,Gulou,93.49,Other,3,2,6,3,1
635,43280,Gulou,146.72,Other,3,2,29,6,0
540,47294,Gulou,114.18,Other,1,2,53,24,1
188,25638,Gulou,73.33,Other,3,1,7,5,0
860,44008,Gulou,195.42,Other,3,2,4,2,1
175,21742,Gulou,80.49,Other,2,1,7,5,0
856,74068,Gulou,115.57,Other,3,2,7,5,1
200,25285,Gulou,79.1,Other,3,1,7,5,1
218,36352,Gulou,59.97,Other,2,2,6,3,0
288,31684,Gulou,90.9,Part Furnished,3,1,7,5,0
375,59477,Gulou,63.05,Other,3,1,8,4,1
280,34386,Gulou,81.43,Other,3,1,6,3,0
485,58568,Gulou,82.81,Other,2,2,6,5,0
930,55776,Gulou,166.74,Other,4,2,10,5,1
998,59054,Gulou,169,Other,4,1,11,5,1
750,50748,Gulou,147.79,Fully Furnished,3,2,28,13,1
228,36633,Gulou,62.24,Other,2,1,5,3,0
760,53982,Gulou,140.79,Fully Furnished,3,2,19,9,0
550,49108,Gulou,112,Other,2,2,55,39,1
410,42417,Gulou,96.66,Other,3,2,6,5,0
492,43894,Gulou,112.09,Other,3,1,7,4,1
450,71554,Gulou,62.89,Other,3,1,7,4,0
263,36266,Gulou,72.52,Other,3,1,6,5,0
293,39425,Gulou,74.32,Other,3,1,6,5,0
780,66440,Gulou,117.4,Other,3,2,33,7,0
190,37565,Gulou,50.58,Part Furnished,2,1,6,3,1
410,81853,Gulou,50.09,Other,2,1,5,3,0
550,61625,Gulou,89.25,Other,3,1,6,5,0
800,57904,Gulou,138.16,Other,3,1,7,4,0
398,59033,Gulou,67.42,Other,2,1,8,6,1
385,48198,Gulou,79.88,Other,3,1,7,4,0
620,63460,Gulou,97.7,Other,2,2,56,26,1
499,61431,Gulou,81.23,Fully Furnished,2,1,5,3,0
645,89883,Gulou,71.76,Other,3,1,8,4,0
270,32775,Gulou,82.38,Other,3,1,7,4,1
237,43922,Gulou,53.96,Other,2,1,7,4,1
420,34806,Gulou,120.67,Fully Furnished,4,2,6,5,0
298,39366,Gulou,75.7,Other,3,1,6,5,0
368,36614,Gulou,100.51,Other,3,1,7,2,0
345,39138,Gulou,88.15,Other,2,2,7,2,1
160,40838,Gulou,39.18,Other,2,1,7,5,1
430,68483,Gulou,62.79,Other,2,1,6,2,1
520,76561,Gulou,67.92,Other,2,1,26,12,0
398,33960,Gulou,117.2,Other,4,2,7,5,1
470,38094,Gulou,123.38,Part Furnished,3,2,15,4,1
700,63058,Gulou,111.01,Other,2,2,38,18,0
639,71597,Gulou,89.25,Other,3,2,6,2,0
288,29263,Gulou,98.42,Other,2,2,7,4,1
390,40988,Gulou,95.15,Part Furnished,3,2,6,3,0
663,52000,Gulou,127.5,Other,3,2,17,4,0
650,68609,Gulou,94.74,Other,2,1,17,4,1
575,65105,Gulou,88.32,Other,3,1,6,3,1
249,49016,Gulou,50.8,Fully Furnished,2,1,7,4,1
326,41747,Gulou,78.09,Other,3,1,7,5,1
740,33548,Gulou,220.58,Other,3,2,55,12,0
260,36132,Gulou,71.96,Other,3,1,7,4,0
185,26512,Gulou,69.78,Other,3,1,6,2,1
280,37615,Gulou,74.44,Fully Furnished,3,2,7,5,0
270,32278,Gulou,83.65,Part Furnished,3,1,6,5,0
718,45748,Gulou,156.95,Other,4,2,30,7,0
185,25724,Gulou,71.92,Fully Furnished,3,1,6,5,1
288,37835,Gulou,76.12,Not Furnished,3,1,6,3,1
137,31618,Gulou,43.33,Fully Furnished,2,1,7,2,1
550,43335,Gulou,126.92,Other,2,2,55,39,0
860,44056,Gulou,195.21,Other,3,2,4,2,0
255,34913,Gulou,73.04,Other,2,1,5,3,0
137,31618,Gulou,43.33,Fully Furnished,2,1,7,2,1
185,25724,Gulou,71.92,Fully Furnished,3,1,6,5,1
288,37835,Gulou,76.12,Not Furnished,3,1,6,3,1
378,57491,Gulou,65.75,Other,2,2,7,5,1
135,23561,Gulou,57.3,Other,2,1,6,2,1
186,35825,Gulou,51.92,Other,2,1,7,5,0
460,49537,Gulou,92.86,Other,3,2,7,5,1
228,25174,Gulou,90.57,Fully Furnished,3,1,25,6,1
440,33216,Gulou,132.47,Other,3,2,12,3,0
300,27018,Gulou,111.04,Part Furnished,3,2,7,4,0
435,68364,Gulou,63.63,Other,3,1,7,5,0
430,89659,Gulou,47.96,Other,4,1,3,1,1
1020,56252,Gulou,181.33,Other,4,2,21,5,0
328,38753,Gulou,84.64,Other,3,1,7,2,0
240,35929,Gulou,66.8,Not Furnished,2,1,16,12,0
750,48441,Gulou,154.83,Other,4,2,6,5,0
145,25484,Gulou,56.9,Part Furnished,2,1,6,2,0
610,48413,Gulou,126,Other,3,2,17,12,0
466,52348,Gulou,89.02,Other,3,2,11,5,0
243,32671,Gulou,74.38,Fully Furnished,3,1,5,3,0
290,43682,Gulou,66.39,Other,3,1,5,3,1
608,47852,Gulou,127.06,Other,3,2,15,7,0
538,47674,Gulou,112.85,Other,3,1,32,23,0
650,48712,Gulou,133.44,Other,3,2,55,25,1
768,61001,Gulou,125.9,Other,3,2,56,26,0
480,62169,Gulou,77.21,Other,3,1,6,5,1
418,41684,Gulou,100.28,Other,3,1,6,3,0
680,54314,Gulou,125.2,Other,3,2,11,3,0
210,39467,Gulou,53.21,Other,2,1,4,2,0
191,23071,Gulou,82.79,Other,3,1,7,5,1
310,39019,Gulou,79.45,Other,3,1,7,5,1
390,56629,Gulou,68.87,Fully Furnished,3,1,6,5,1
210,21095,Gulou,99.55,Other,3,1,7,5,0
178,26305,Gulou,67.67,Part Furnished,3,1,7,5,1
490,60175,Gulou,81.43,Other,3,1,7,4,0
240,30350,Gulou,79.08,Other,3,1,7,5,0
999,63300,Gulou,157.82,Other,4,2,16,12,0
708,43277,Gulou,163.6,Other,4,2,17,4,0
253,34911,Gulou,72.47,Not Furnished,3,2,5,3,0
330,41468,Gulou,79.58,Other,2,2,6,3,0
179,35154,Gulou,50.92,Other,2,1,7,5,1
220,34014,Gulou,64.68,Other,2,1,16,4,1
145,20831,Gulou,69.61,Other,2,1,7,4,1
295,34022,Gulou,86.71,Other,3,1,9,5,1
230,41338,Gulou,55.64,Other,2,2,7,5,1
708,67674,Gulou,104.62,Other,3,1,6,5,1
216,41356,Gulou,52.23,Other,2,1,7,4,0
218,36510,Gulou,59.71,Other,2,1,7,4,0
330,24631,Gulou,133.98,Other,3,1,30,22,1
230,31958,Gulou,71.97,Part Furnished,3,1,4,2,0
190,34185,Gulou,55.58,Other,2,1,9,2,0
590,44215,Gulou,133.44,Other,3,1,55,25,0
243,40595,Gulou,59.86,Other,2,1,12,3,0
435,69202,Gulou,62.86,Other,2,1,18,13,1
490,76599,Gulou,63.97,Other,2,1,6,2,0
242,35688,Gulou,67.81,Part Furnished,3,1,7,4,0
728,55936,Gulou,130.15,Other,3,1,31,14,1
550,55360,Gulou,99.35,Other,3,1,7,2,1
429,37406,Gulou,114.69,Other,3,1,7,4,0
160,27520,Gulou,58.14,Other,2,1,6,2,0
469,59791,Gulou,78.44,Other,3,1,6,5,1
195,30469,Gulou,64,Other,3,1,6,5,0
270,27076,Gulou,99.72,Fully Furnished,3,1,7,5,0
235,27677,Gulou,84.91,Other,3,1,6,3,1
288,39951,Gulou,72.09,Other,3,1,6,5,1
460,50461,Gulou,91.16,Other,3,1,4,1,1
485,54391,Gulou,89.17,Other,5,1,6,2,0
480,77258,Gulou,62.13,Other,2,1,7,2,0
298,47048,Gulou,63.34,Other,2,1,7,4,0
648,47515,Gulou,136.38,Other,3,2,7,4,1
190,23151,Gulou,82.07,Other,3,1,7,5,0
275,37895,Gulou,72.57,Other,3,1,6,5,0
408,80841,Gulou,50.47,Other,2,1,21,15,0
223,39247,Gulou,56.82,Other,2,1,6,2,0
369,32135,Gulou,114.83,Fully Furnished,4,1,7,5,0
190,24161,Gulou,78.64,Fully Furnished,3,1,7,5,0
366,54465,Gulou,67.2,Other,3,1,5,2,1
630,47380,Gulou,132.97,Other,3,2,47,22,1
359,30118,Gulou,119.2,Part Furnished,3,1,32,7,0
149,22058,Gulou,67.55,Other,3,1,6,5,0
260,34157,Gulou,76.12,Other,3,1,6,5,1
259,30644,Gulou,84.52,Other,3,1,4,3,0
428,35646,Gulou,120.07,Other,4,1,6,3,0
240,25000,Gulou,96,Other,3,1,6,5,1
250,43449,Gulou,57.54,Other,2,2,18,9,0
350,29420,Gulou,118.97,Other,3,1,11,5,1
730,58307,Gulou,125.2,Other,3,1,11,5,0
245,35106,Gulou,69.79,Other,2,1,7,4,0
428,35646,Gulou,120.07,Other,4,1,6,3,0
249,33860,Gulou,73.54,Other,3,1,6,3,0
190,23151,Gulou,82.07,Other,3,1,7,5,0
600,43681,Gulou,137.36,Other,3,2,47,10,1
408,80841,Gulou,50.47,Other,2,1,21,15,0
250,43449,Gulou,57.54,Other,2,2,18,9,0
550,68562,Gulou,80.22,Other,3,1,21,10,1
630,47380,Gulou,132.97,Other,3,2,47,22,1
190,24161,Gulou,78.64,Fully Furnished,3,1,7,5,0
369,32135,Gulou,114.83,Fully Furnished,4,1,7,5,0
223,39247,Gulou,56.82,Other,2,1,6,2,0
262,26864,Gulou,97.53,Part Furnished,3,1,6,3,0
366,54465,Gulou,67.2,Other,3,1,5,2,1
280,35323,Gulou,79.27,Fully Furnished,3,1,7,5,0
359,30118,Gulou,119.2,Part Furnished,3,1,32,7,0
192,39192,Gulou,48.99,Other,2,1,7,4,0
498,47438,Gulou,104.98,Other,3,1,8,4,1
765,46968,Gulou,162.88,Not Furnished,4,2,28,13,0
740,45433,Gulou,162.88,Fully Furnished,4,2,28,6,0
350,29420,Gulou,118.97,Other,3,1,11,5,1
730,58307,Gulou,125.2,Other,3,1,11,5,0
245,35106,Gulou,69.79,Other,2,1,7,4,0
800,52830,Gulou,151.43,Other,3,2,11,5,0
240,25000,Gulou,96,Other,3,1,6,5,1
235,35059,Gulou,67.03,Other,2,2,7,5,1
968,45639,Gulou,212.1,Other,3,2,53,24,1
189,30110,Gulou,62.77,Other,3,1,6,5,0
570,54328,Gulou,104.92,Part Furnished,2,1,25,12,0
450,50285,Gulou,89.49,Fully Furnished,3,2,7,4,1
305,44358,Gulou,68.76,Part Furnished,3,1,6,3,0
588,49608,Gulou,118.53,Fully Furnished,3,1,31,14,0
810,53803,Gulou,150.55,Other,3,2,11,8,0
930,81917,Gulou,113.53,Other,3,2,5,3,1
920,83409,Gulou,110.3,Not Furnished,3,2,18,9,0
229,29923,Gulou,76.53,Part Furnished,2,2,7,5,0
268,51628,Gulou,51.91,Other,2,1,7,4,0
275,30039,Gulou,91.55,Other,3,1,7,2,0
610,52173,Gulou,116.92,Part Furnished,3,2,28,20,1
253,49833,Gulou,50.77,Other,2,1,8,6,0
227,37596,Gulou,60.38,Other,2,1,6,5,1
390,43455,Gulou,89.75,Other,3,2,7,2,0
285,39084,Gulou,72.92,Fully Furnished,3,1,7,4,0
290,40273,Gulou,72.01,Other,3,1,6,5,1
420,44681,Gulou,94,Other,3,2,18,9,0
410,53813,Gulou,76.19,Part Furnished,3,1,5,4,0
178,34277,Gulou,51.93,Part Furnished,2,1,6,5,1
570,54328,Gulou,104.92,Part Furnished,2,1,25,12,0
415,50067,Gulou,82.89,Other,2,2,27,13,0
238,29915,Gulou,79.56,Other,3,1,7,2,1
120,24121,Gulou,49.75,Other,2,1,7,4,0
175,29041,Gulou,60.26,Other,2,1,7,5,0
1218,68931,Gulou,176.7,Other,4,1,31,7,0
600,60958,Gulou,98.43,Other,2,2,12,3,1
479,46897,Gulou,102.14,Fully Furnished,3,2,18,13,1
450,50285,Gulou,89.49,Fully Furnished,3,2,7,4,1
305,44358,Gulou,68.76,Part Furnished,3,1,6,3,0
170,24560,Gulou,69.22,Part Furnished,3,1,6,3,0
820,66381,Gulou,123.53,Other,3,2,7,4,0
470,46016,Gulou,102.14,Not Furnished,3,1,18,13,0
555,43612,Gulou,127.26,Other,3,2,14,7,1
289,32432,Gulou,89.11,Other,3,1,7,5,1
575,71340,Gulou,80.6,Other,3,1,6,5,0
640,76970,Gulou,83.15,Part Furnished,4,1,7,5,1
168,28896,Gulou,58.14,Other,2,1,6,2,1
170,24560,Gulou,69.22,Part Furnished,3,1,6,3,0
390,43455,Gulou,89.75,Other,3,2,7,2,0
470,46016,Gulou,102.14,Not Furnished,3,1,18,13,0
820,66381,Gulou,123.53,Other,3,2,7,4,0
600,60958,Gulou,98.43,Other,2,2,12,3,1
555,43612,Gulou,127.26,Other,3,2,14,7,1
275,30039,Gulou,91.55,Other,3,1,7,2,0
178,34277,Gulou,51.93,Part Furnished,2,1,6,5,1
920,83409,Gulou,110.3,Not Furnished,3,2,18,9,0
628,62719,Gulou,100.13,Other,2,2,55,25,1
210,29429,Gulou,71.36,Other,2,1,8,4,1
350,71139,Gulou,49.2,Other,2,1,7,4,0
368,72413,Gulou,50.82,Other,2,1,7,4,0
436,34437,Gulou,126.61,Other,3,1,11,5,1
169,21532,Gulou,78.49,Other,3,1,7,4,0
930,45917,Gulou,202.54,Not Furnished,4,2,55,25,1
141,23968,Gulou,58.83,Part Furnished,3,1,6,5,0
680,53952,Gulou,126.04,Other,3,1,55,39,0
218,37304,Gulou,58.44,Other,2,1,7,4,1
218,28345,Gulou,76.91,Other,3,1,7,4,0
470,39838,Gulou,117.98,Other,3,2,16,4,1
220,35433,Gulou,62.09,Part Furnished,3,1,6,2,0
619,46472,Gulou,133.2,Not Furnished,3,2,47,33,1
680,60747,Gulou,111.94,Other,4,1,18,9,1
368,47601,Gulou,77.31,Other,3,1,6,5,0
236,34876,Gulou,67.67,Other,3,1,6,5,1
140,19396,Gulou,72.18,Part Furnished,3,1,7,5,0
510,67185,Gulou,75.91,Other,2,2,7,5,0
400,52639,Gulou,75.99,Other,3,1,7,4,0
168,24149,Gulou,69.57,Part Furnished,3,1,6,5,0
695,58077,Gulou,119.67,Fully Furnished,3,2,11,3,0
225,30073,Gulou,74.82,Other,3,1,6,3,0
208,41229,Gulou,50.45,Part Furnished,2,1,8,4,0
428,39216,Gulou,109.14,Other,3,1,6,5,1
279,41748,Gulou,66.83,Other,2,1,7,2,0
624,60093,Gulou,103.84,Other,3,1,11,5,1
560,44213,Gulou,126.66,Other,2,2,26,6,0
364,39225,Gulou,92.8,Other,3,1,5,3,0
658,67061,Gulou,98.12,Part Furnished,3,1,7,4,0
480,52050,Gulou,92.22,Other,3,2,6,5,0
648,67783,Gulou,95.6,Other,3,1,7,5,1
540,47915,Gulou,112.7,Fully Furnished,3,2,7,2,1
315,31285,Gulou,100.69,Other,2,2,7,4,0
298,35485,Gulou,83.98,Other,3,1,7,5,1
650,60925,Gulou,106.69,Other,3,1,6,5,0
220,41604,Gulou,52.88,Other,2,2,18,9,0
349,71080,Gulou,49.1,Other,2,1,5,4,0
588,48656,Gulou,120.85,Other,3,2,32,23,1
740,59983,Gulou,123.37,Other,4,2,7,4,1
215,40008,Gulou,53.74,Other,2,1,6,5,1
700,54013,Gulou,129.6,Fully Furnished,3,2,55,12,0
355,63168,Gulou,56.2,Other,2,1,6,3,1
1270,74597,Gulou,170.25,Other,4,2,31,22,0
120,16475,Gulou,72.84,Part Furnished,3,1,6,5,0
550,40981,Gulou,134.21,Other,3,2,18,4,1
270,30879,Gulou,87.44,Other,3,2,7,5,0
1280,66041,Gulou,193.82,Not Furnished,4,1,56,26,0
265,30786,Gulou,86.08,Other,3,1,7,5,0
608,40968,Gulou,148.41,Other,3,2,55,39,1
438,58299,Gulou,75.13,Fully Furnished,3,1,6,5,0
940,67225,Gulou,139.83,Other,3,2,18,4,0
499,51834,Gulou,96.27,Other,3,1,7,4,0
235,25893,Gulou,90.76,Not Furnished,3,1,6,3,0
160,22744,Gulou,70.35,Other,3,1,6,5,0
480,40398,Gulou,118.82,Other,4,2,7,5,1
699,41138,Gulou,169.92,Other,4,2,54,38,0
460,58532,Gulou,78.59,Other,3,1,7,4,1
368,43107,Gulou,85.37,Other,3,1,10,5,1
260,31333,Gulou,82.98,Not Furnished,3,1,9,5,0
599,48032,Gulou,124.71,Other,5,2,7,5,0
660,49089,Gulou,134.45,Other,3,2,19,9,0
230,33042,Gulou,69.61,Other,3,1,7,2,0
415,33466,Gulou,124.01,Other,2,2,55,12,0
410,38030,Gulou,107.81,Other,3,1,34,24,1
270,30879,Gulou,87.44,Other,3,2,7,5,0
460,70133,Gulou,65.59,Fully Furnished,2,2,7,4,1
269,53661,Gulou,50.13,Other,2,1,7,5,0
175,25567,Gulou,68.45,Other,3,1,6,5,0
398,57791,Gulou,68.87,Other,3,1,6,3,1
177,32525,Gulou,54.42,Other,2,1,5,3,1
470,44869,Gulou,104.75,Other,2,2,55,39,0
560,67593,Gulou,82.85,Other,3,1,7,5,0
215,28782,Gulou,74.7,Other,3,1,7,4,0
421,51944,Gulou,81.05,Other,3,1,7,5,1
365,80397,Gulou,45.4,Other,2,1,4,1,1
175,34382,Gulou,50.9,Other,2,1,7,5,0
723,58218,Gulou,124.19,Other,4,2,7,4,1
790,76079,Gulou,103.84,Other,3,2,7,2,1
205,30299,Gulou,67.66,Other,3,1,7,5,1
230,45909,Gulou,50.1,Other,2,1,6,3,0
308,31295,Gulou,98.42,Other,3,1,7,4,0
578,67714,Gulou,85.36,Other,3,1,4,2,1
165,21485,Gulou,76.8,Other,2,1,57,12,0
195,32360,Gulou,60.26,Other,3,1,7,5,0
369,38494,Gulou,95.86,Other,3,1,28,13,1
420,37110,Gulou,113.18,Part Furnished,3,2,7,2,1
155,20792,Gulou,74.55,Other,2,1,7,5,0
438,58299,Gulou,75.13,Fully Furnished,3,1,6,5,0
420,61413,Gulou,68.39,Part Furnished,2,1,6,5,1
384,38282,Gulou,100.31,Other,3,1,26,19,0
598,68188,Gulou,87.7,Other,3,2,6,3,0
248,31939,Gulou,77.65,Fully Furnished,3,2,5,2,0
468,58022,Gulou,80.66,Other,3,1,6,5,1
258,31900,Gulou,80.88,Other,3,1,11,3,0
499,66419,Gulou,75.13,Other,3,1,6,5,0
365,80397,Gulou,45.4,Other,2,1,4,1,1
175,34382,Gulou,50.9,Other,2,1,7,5,0
245,32459,Gulou,75.48,Other,3,1,7,5,0
938,68154,Gulou,137.63,Other,3,2,33,24,0
144,25189,Gulou,57.17,Part Furnished,2,1,6,5,0
486,66051,Gulou,73.58,Other,3,1,4,2,0
680,70819,Gulou,96.02,Other,3,2,6,2,1
195,36212,Gulou,53.85,Other,2,1,7,4,1
480,42724,Gulou,112.35,Other,3,1,7,4,0
650,44983,Gulou,144.5,Other,3,2,28,13,0
286,41324,Gulou,69.21,Other,3,1,7,5,0
195,33215,Gulou,58.71,Other,3,1,6,2,0
227,45094,Gulou,50.34,Other,2,1,7,5,0
440,43952,Gulou,100.11,Other,3,2,7,4,0
235,38063,Gulou,61.74,Other,2,1,6,2,1
388,62692,Gulou,61.89,Other,3,1,5,3,1
410,49126,Gulou,83.46,Other,3,1,7,4,1
420,37110,Gulou,113.18,Part Furnished,3,2,7,2,1
155,20792,Gulou,74.55,Other,2,1,7,5,0
550,64313,Gulou,85.52,Other,3,2,6,2,0
425,54307,Gulou,78.26,Other,2,1,6,3,0
698,37722,Gulou,185.04,Other,3,2,52,11,0
162,31759,Gulou,51.01,Other,2,1,6,5,0
